Date,Time,Elapsed Seconds,Latitude,Longitude,Temperature Probe-Temperature (&#x2103;),Humidity-Humidity (%RH),Dew Point-Dew Point (&#x2103;),Heat Index-Heat Index (&#x2103;),Ambient Light Intensity-Light (lux)
6/8/2026,3:00:52 PM,0,17.77510,-64.79970,33.1,44.6,20.7,37.7,587.65
6/8/2026,3:00:53 PM,1,17.77511,-64.79970,33.2,44.7,20.7,37.7,636.84
6/8/2026,3:00:54 PM,2,17.77512,-64.79970,33.3,44.7,20.7,37.7,479.44
6/8/2026,3:00:55 PM,3,17.77513,-64.79969,33.2,44.7,20.7,37.7,521.2
6/8/2026,3:00:56 PM,4,17.77514,-64.79969,33.2,44.5,20.7,37.7,459.58
6/8/2026,3:00:57 PM,5,17.77515,-64.79969,33.2,44.3,20.6,37.6,273.63
6/8/2026,3:00:58 PM,6,17.77516,-64.79969,33.4,44.4,20.6,37.6,836.98
6/8/2026,3:00:59 PM,7,17.77517,-64.79969,33.5,44.5,20.7,37.7,807.98
6/8/2026,3:01:00 PM,8,17.77518,-64.79969,33.4,44.6,20.7,37.7,685.79
6/8/2026,3:01:01 PM,9,17.77519,-64.79969,33.4,44.6,20.7,37.7,471.14
6/8/2026,3:01:02 PM,10,17.77520,-64.79969,33.5,44.7,20.8,37.8,395.03
6/8/2026,3:01:03 PM,11,17.77521,-64.79970,33.4,44.7,20.8,37.7,238.44
6/8/2026,3:01:04 PM,12,17.77522,-64.79970,33.4,44.7,20.8,37.8,253.4
6/8/2026,3:01:05 PM,13,17.77524,-64.79970,33.5,44.7,20.8,37.8,423.37
6/8/2026,3:01:06 PM,14,17.77524,-64.79971,33.4,44.7,20.8,37.8,530.01
6/8/2026,3:01:07 PM,15,17.77526,-64.79971,33.5,44.7,20.8,37.8,590.48
6/8/2026,3:01:08 PM,16,17.77527,-64.79971,33.5,44.7,20.8,37.8,508.89
6/8/2026,3:01:09 PM,17,17.77528,-64.79971,33.7,44.6,20.8,37.8,467.31
6/8/2026,3:01:10 PM,18,17.77530,-64.79971,33.6,44.6,20.7,37.7,471.86
6/8/2026,3:01:11 PM,19,17.77531,-64.79971,33.6,44.5,20.7,37.7,461.94
6/8/2026,3:01:12 PM,20,17.77532,-64.79971,33.6,44.4,20.7,37.7,459.92
6/8/2026,3:01:13 PM,21,17.77533,-64.79971,33.5,44.4,20.7,37.7,482.14
6/8/2026,3:01:14 PM,22,17.77534,-64.79971,33.5,44.5,20.7,37.7,560.75
6/8/2026,3:01:15 PM,23,17.77535,-64.79971,33.7,44.5,20.7,37.8,486.33
6/8/2026,3:01:16 PM,24,17.77536,-64.79971,33.7,44.6,20.8,37.8,449.51
6/8/2026,3:01:17 PM,25,17.77537,-64.79972,33.8,44.7,20.8,37.8,161.46
6/8/2026,3:01:18 PM,26,17.77539,-64.79972,33.6,44.8,20.8,37.8,411.48
6/8/2026,3:01:19 PM,27,17.77540,-64.79973,33.6,44.9,20.9,37.9,471.05
6/8/2026,3:01:20 PM,28,17.77541,-64.79973,33.9,45,20.9,37.9,479.73
6/8/2026,3:01:21 PM,29,17.77542,-64.79973,33.6,45.1,20.9,38,580.84
6/8/2026,3:01:22 PM,30,17.77543,-64.79973,33.4,45.2,21,38,601.3
6/8/2026,3:01:23 PM,31,17.77544,-64.79972,33.6,45.2,21,38,511.66
6/8/2026,3:01:24 PM,32,17.77545,-64.79972,33.7,45.3,21,38,465.59
6/8/2026,3:01:25 PM,33,17.77546,-64.79973,33.6,45.3,21,38,513.66
6/8/2026,3:01:26 PM,34,17.77548,-64.79972,33.5,45.2,21,38,253.51
6/8/2026,3:01:27 PM,35,17.77549,-64.79972,33.5,45.3,21,38.1,336.39
6/8/2026,3:01:28 PM,36,17.77550,-64.79972,33.8,45.3,21,38.1,751.95
6/8/2026,3:01:29 PM,37,17.77551,-64.79973,33.7,45.3,21,38.1,750.79
6/8/2026,3:01:30 PM,38,17.77552,-64.79973,33.6,45.5,21.1,38.1,493
6/8/2026,3:01:31 PM,39,17.77553,-64.79974,33.8,45.7,21.2,38.2,532.01
6/8/2026,3:01:32 PM,40,17.77554,-64.79974,33.8,45.7,21.2,38.2,486.19
6/8/2026,3:01:33 PM,41,17.77556,-64.79974,33.7,45.7,21.2,38.2,488.26
6/8/2026,3:01:34 PM,42,17.77557,-64.79974,33.9,45.7,21.2,38.2,618.53
6/8/2026,3:01:35 PM,43,17.77558,-64.79974,33.9,45.6,21.2,38.2,558.66
6/8/2026,3:01:36 PM,44,17.77559,-64.79974,33.8,45.6,21.1,38.2,595.56
6/8/2026,3:01:37 PM,45,17.77561,-64.79974,33.8,45.5,21.1,38.2,372.11
6/8/2026,3:01:38 PM,46,17.77562,-64.79974,33.9,45.3,21.1,38.1,225.04
6/8/2026,3:01:39 PM,47,17.77563,-64.79974,33.6,45.1,21,38,493.39
