Date,Time,Elapsed Seconds,Latitude,Longitude,Temperature Probe-Temperature (&#x2103;),Humidity-Humidity (%RH),Dew Point-Dew Point (&#x2103;),Heat Index-Heat Index (&#x2103;),Ambient Light Intensity-Light (lux)
6/8/2026,2:12:15 PM,0,17.77595,-64.78411,30.1,54.7,20.5,32.9,441.2
6/8/2026,2:12:16 PM,1,17.77595,-64.78410,30.1,54.8,20.5,32.9,849.76
6/8/2026,2:12:17 PM,2,17.77595,-64.78410,30,54.7,20.5,32.9,690.05
6/8/2026,2:12:18 PM,3,17.77595,-64.78410,30.2,54.5,20.4,32.9,1080.18
6/8/2026,2:12:19 PM,4,17.77596,-64.78411,30.2,54.8,20.5,32.9,933.37
6/8/2026,2:12:20 PM,5,17.77595,-64.78410,30.1,55.2,20.6,33,1483.84
6/8/2026,2:12:21 PM,6,17.77594,-64.78410,30.3,55.5,20.7,33.1,1596.32
6/8/2026,2:12:22 PM,7,17.77593,-64.78409,30.3,55.5,20.7,33.1,1759.65
6/8/2026,2:12:23 PM,8,17.77592,-64.78409,30.2,55.3,20.7,33,1987.02
6/8/2026,2:12:24 PM,9,17.77591,-64.78408,30.5,55.6,20.8,33.1,1728.43
6/8/2026,2:12:25 PM,10,17.77590,-64.78408,30.4,56,20.9,33.2,1660.59
6/8/2026,2:12:26 PM,11,17.77589,-64.78409,30.5,56.3,21,33.3,1659.29
6/8/2026,2:12:27 PM,12,17.77589,-64.78409,30.6,56.2,20.9,33.3,1825.37
6/8/2026,2:12:28 PM,13,17.77588,-64.78409,30.7,56.3,21,33.3,1881.9
6/8/2026,2:12:29 PM,14,17.77588,-64.78410,30.6,56.3,21,33.3,1387.26
6/8/2026,2:12:30 PM,15,17.77585,-64.78411,30.7,56.2,20.9,33.3,959.53
6/8/2026,2:12:31 PM,16,17.77585,-64.78412,30.6,56.1,20.9,33.3,1249.72
6/8/2026,2:12:32 PM,17,17.77584,-64.78413,30.7,56.2,20.9,33.3,1390.82
6/8/2026,2:12:33 PM,18,17.77584,-64.78414,30.7,56.1,20.9,33.3,1236.71
6/8/2026,2:12:34 PM,19,17.77583,-64.78414,30.7,56,20.9,33.2,1224.93
6/8/2026,2:12:35 PM,20,17.77583,-64.78415,30.6,55.9,20.9,33.2,1114.17
6/8/2026,2:12:36 PM,21,17.77582,-64.78416,30.9,55.7,20.8,33.2,1154.57
6/8/2026,2:12:37 PM,22,17.77582,-64.78417,30.9,55.7,20.8,33.2,1277.81
6/8/2026,2:12:38 PM,23,17.77582,-64.78418,30.7,55.7,20.8,33.2,1268.81
6/8/2026,2:12:39 PM,24,17.77582,-64.78419,30.9,55.8,20.8,33.2,1425.98
6/8/2026,2:12:40 PM,25,17.77582,-64.78420,30.8,55.7,20.8,33.2,1464.57
6/8/2026,2:12:41 PM,26,17.77581,-64.78422,30.8,55.4,20.7,33.2,1509.68
6/8/2026,2:12:42 PM,27,17.77581,-64.78423,30.7,55.1,20.7,33.1,1508.07
6/8/2026,2:12:43 PM,28,17.77581,-64.78424,30.9,55.1,20.6,33.1,509.13
6/8/2026,2:12:44 PM,29,17.77581,-64.78425,31,55,20.6,33.1,1257.43
6/8/2026,2:12:45 PM,30,17.77581,-64.78426,31.1,55,20.6,33.1,1055.08
6/8/2026,2:12:46 PM,31,17.77581,-64.78426,30.8,55.3,20.7,33.2,1267.12
6/8/2026,2:12:47 PM,32,17.77581,-64.78427,30.9,55.3,20.7,33.1,1279.48
6/8/2026,2:12:48 PM,33,17.77581,-64.78427,31,55.2,20.7,33.2,1371.24
6/8/2026,2:12:49 PM,34,17.77581,-64.78428,31,55.3,20.7,33.2,1610.85
6/8/2026,2:12:50 PM,35,17.77580,-64.78428,31,55.3,20.7,33.2,1546.18
6/8/2026,2:12:51 PM,36,17.77580,-64.78429,31.1,55.5,20.8,33.2,1475.87
6/8/2026,2:12:52 PM,37,17.77580,-64.78430,30.8,55.8,20.9,33.3,1554.13
6/8/2026,2:12:53 PM,38,17.77580,-64.78431,30.9,55.8,20.9,33.3,1135.93
6/8/2026,2:12:54 PM,39,17.77580,-64.78431,31,55.8,20.9,33.3,682.48
6/8/2026,2:12:55 PM,40,17.77581,-64.78432,31,55.4,20.8,33.3,791.79
6/8/2026,2:12:56 PM,41,17.77581,-64.78433,31.1,55.5,20.8,33.3,1269.76
6/8/2026,2:12:57 PM,42,17.77582,-64.78433,30.9,55.4,20.8,33.3,692.81
6/8/2026,2:12:58 PM,43,17.77582,-64.78434,31,55.5,20.8,33.3,635.34
6/8/2026,2:12:59 PM,44,17.77581,-64.78435,31,55.5,20.8,33.3,1636.96
6/8/2026,2:13:00 PM,45,17.77581,-64.78437,31,55.5,20.8,33.3,1297.43
6/8/2026,2:13:01 PM,46,17.77581,-64.78437,30.8,55.6,20.8,33.3,1159.93
6/8/2026,2:13:02 PM,47,17.77580,-64.78438,30.9,55.6,20.9,33.3,1017.81
6/8/2026,2:13:03 PM,48,17.77580,-64.78439,30.9,55.7,20.9,33.4,608.03
6/8/2026,2:13:04 PM,49,17.77580,-64.78440,30.9,55.7,20.9,33.4,622.74
6/8/2026,2:13:05 PM,50,17.77580,-64.78441,31,55.8,20.9,33.4,506.88
6/8/2026,2:13:06 PM,51,17.77581,-64.78442,30.8,55.8,20.9,33.4,491.79
6/8/2026,2:13:07 PM,52,17.77581,-64.78443,31.1,55.9,21,33.4,1036.26
6/8/2026,2:13:08 PM,53,17.77581,-64.78444,30.9,55.8,20.9,33.4,889.53
6/8/2026,2:13:09 PM,54,17.77581,-64.78445,31.2,55.8,20.9,33.4,977.58
6/8/2026,2:13:10 PM,55,17.77581,-64.78446,31,55.6,20.9,33.4,1029.33
6/8/2026,2:13:11 PM,56,17.77581,-64.78447,31.1,55.6,20.9,33.4,576.27
6/8/2026,2:13:12 PM,57,17.77581,-64.78448,31.1,55.7,20.9,33.4,595.09
6/8/2026,2:13:13 PM,58,17.77581,-64.78450,31.4,55.7,20.9,33.4,614.04
6/8/2026,2:13:14 PM,59,17.77581,-64.78451,31.1,55.9,21,33.5,928.56
6/8/2026,2:13:15 PM,60,17.77581,-64.78452,31.5,56.1,21,33.5,1343.07
6/8/2026,2:13:16 PM,61,17.77581,-64.78453,31.4,56.1,21.1,33.5,1652.8
6/8/2026,2:13:17 PM,62,17.77581,-64.78454,31.4,56,21,33.5,1432.48
6/8/2026,2:13:18 PM,63,17.77581,-64.78455,31.4,56,21,33.6,1522.62
6/8/2026,2:13:19 PM,64,17.77581,-64.78457,31.4,56,21.1,33.6,1344.45
6/8/2026,2:13:20 PM,65,17.77581,-64.78458,31.5,55.9,21,33.6,1390.25
6/8/2026,2:13:21 PM,66,17.77581,-64.78459,31.3,55.9,21,33.6,1521.32
6/8/2026,2:13:22 PM,67,17.77581,-64.78460,31.3,56,21.1,33.6,1573.56
6/8/2026,2:13:23 PM,68,17.77581,-64.78462,31.5,55.9,21,33.6,1418.98
6/8/2026,2:13:24 PM,69,17.77581,-64.78463,31.5,55.7,21,33.6,1402.4
6/8/2026,2:13:25 PM,70,17.77582,-64.78464,31.3,55.7,21,33.6,1259.9
6/8/2026,2:13:26 PM,71,17.77582,-64.78465,31.6,55.7,21,33.6,1030.62
6/8/2026,2:13:27 PM,72,17.77582,-64.78466,31.7,55.7,21,33.6,1038.47
6/8/2026,2:13:28 PM,73,17.77582,-64.78467,31.7,55.9,21.1,33.7,1008.29
6/8/2026,2:13:29 PM,74,17.77582,-64.78469,31.6,55.9,21.1,33.7,706.95
6/8/2026,2:13:30 PM,75,17.77582,-64.78470,31.9,55.9,21.1,33.7,954.08
6/8/2026,2:13:31 PM,76,17.77582,-64.78470,32,56,21.1,33.7,1095.79
6/8/2026,2:13:32 PM,77,17.77582,-64.78472,32.1,56,21.1,33.7,1441.74
6/8/2026,2:13:33 PM,78,17.77583,-64.78473,32,56,21.1,33.8,1180.52
6/8/2026,2:13:34 PM,79,17.77583,-64.78474,32,56,21.1,33.8,720.34
6/8/2026,2:13:35 PM,80,17.77583,-64.78475,31.9,55.9,21.1,33.8,756.73
6/8/2026,2:13:36 PM,81,17.77583,-64.78476,31.9,56,21.2,33.8,632.61
6/8/2026,2:13:37 PM,82,17.77584,-64.78478,31.9,55.9,21.1,33.8,684.78
6/8/2026,2:13:38 PM,83,17.77584,-64.78479,32,56,21.2,33.8,802.51
6/8/2026,2:13:39 PM,84,17.77584,-64.78480,32,56,21.2,33.9,764.94
6/8/2026,2:13:40 PM,85,17.77585,-64.78481,32.2,55.9,21.2,33.8,571
6/8/2026,2:13:41 PM,86,17.77585,-64.78482,32.2,55.9,21.2,33.9,502.16
6/8/2026,2:13:42 PM,87,17.77585,-64.78483,32,55.8,21.2,33.9,585.95
6/8/2026,2:13:43 PM,88,17.77585,-64.78484,32.3,55.8,21.2,33.9,613.15
6/8/2026,2:13:44 PM,89,17.77586,-64.78486,32.2,55.6,21.1,33.8,810.38
6/8/2026,2:13:45 PM,90,17.77586,-64.78487,32.2,55.5,21.1,33.8,808.8
6/8/2026,2:13:46 PM,91,17.77586,-64.78488,32.1,55.5,21.1,33.9,843.53
6/8/2026,2:13:47 PM,92,17.77586,-64.78489,32.1,55.5,21.1,33.9,897.92
6/8/2026,2:13:48 PM,93,17.77586,-64.78490,32.2,55.4,21.1,33.8,569.77
6/8/2026,2:13:49 PM,94,17.77587,-64.78492,32.2,55.5,21.1,33.9,1297.23
6/8/2026,2:13:50 PM,95,17.77587,-64.78493,32.2,55.5,21.1,33.9,865.59
