Date,Time,Elapsed Seconds,Latitude,Longitude,Temperature Probe-Temperature (&#x2103;),Humidity-Humidity (%RH),Dew Point-Dew Point (&#x2103;),Heat Index-Heat Index (&#x2103;),Ambient Light Intensity-Light (lux)
6/8/2026,2:11:24 PM,0,17.77598,-64.78411,29.3,53,18.2,29.7,110.15
6/8/2026,2:11:25 PM,1,17.77598,-64.78411,29.5,53.1,18.3,29.7,105.87
6/8/2026,2:11:26 PM,2,17.77598,-64.78411,29.3,53.2,18.3,29.7,104.87
6/8/2026,2:11:27 PM,3,17.77598,-64.78411,29.5,53.4,18.3,29.7,106.14
6/8/2026,2:11:28 PM,4,17.77598,-64.78411,29.3,53.5,18.4,29.7,67.07
6/8/2026,2:11:29 PM,5,17.77597,-64.78411,29.4,53.5,18.3,29.7,18.9
6/8/2026,2:11:30 PM,6,17.77597,-64.78411,29.4,53.6,18.4,29.7,86.08
6/8/2026,2:11:31 PM,7,17.77597,-64.78411,29.4,53.6,18.4,29.7,47.4
6/8/2026,2:11:32 PM,8,17.77597,-64.78410,29.5,53.6,18.4,29.7,40.88
6/8/2026,2:11:33 PM,9,17.77597,-64.78410,29.4,53.7,18.4,29.7,45.46
6/8/2026,2:11:34 PM,10,17.77597,-64.78410,29.5,53.8,18.4,29.7,127.9
6/8/2026,2:11:35 PM,11,17.77597,-64.78410,29.7,54.1,18.5,29.8,142.36
6/8/2026,2:11:36 PM,12,17.77597,-64.78410,29.5,54.1,18.5,29.8,223.9
6/8/2026,2:11:37 PM,13,17.77597,-64.78410,29.6,54.2,18.6,29.8,257.78
6/8/2026,2:11:38 PM,14,17.77597,-64.78410,29.6,54.3,18.6,29.8,213.07
6/8/2026,2:11:39 PM,15,17.77599,-64.78411,29.7,54.4,18.6,29.8,220.66
6/8/2026,2:11:40 PM,16,17.77598,-64.78411,29.6,54.4,18.6,29.8,192.47
6/8/2026,2:11:41 PM,17,17.77598,-64.78410,29.7,54.5,18.6,29.8,415.01
6/8/2026,2:11:42 PM,18,17.77597,-64.78409,29.8,54.6,18.7,29.8,261.32
6/8/2026,2:11:43 PM,19,17.77596,-64.78410,29.6,54.9,18.8,29.9,328.93
6/8/2026,2:11:44 PM,20,17.77596,-64.78410,29.7,55,18.8,29.9,279.92
6/8/2026,2:11:45 PM,21,17.77596,-64.78410,29.7,55,18.8,29.9,214.83
6/8/2026,2:11:46 PM,22,17.77597,-64.78410,29.9,54.9,18.8,29.9,220.67
6/8/2026,2:11:47 PM,23,17.77597,-64.78409,29.8,55,18.8,29.9,224.95
6/8/2026,2:11:48 PM,24,17.77597,-64.78410,29.9,54.9,18.8,29.9,252.68
