Date,Time,Elapsed Seconds,Latitude,Longitude,Internal Temperature-Internal Temperature (&#x2103;),Temperature Probe-Temperature (&#x2103;),Humidity-Humidity (%RH),Dew Point-Dew Point (&#x2103;),Heat Index-Heat Index (&#x2103;),Ambient Light Intensity-Light (lux)
6/14/2026,3:51:53 PM,0,17.75086,-64.61589,33.7,33.3,48,21.2,37.1,341.99
6/14/2026,3:51:54 PM,1,17.75085,-64.61589,33.7,33.3,47.9,21.1,37.1,328.59
6/14/2026,3:51:55 PM,2,17.75083,-64.61589,33.7,33.4,47.9,21.1,37,338.19
6/14/2026,3:51:56 PM,3,17.75082,-64.61589,33.7,33.3,47.9,21.1,37,352.04
6/14/2026,3:51:57 PM,4,17.75081,-64.61589,33.7,33.2,47.9,21.1,37,346.43
6/14/2026,3:51:58 PM,5,17.75080,-64.61590,33.7,33.2,47.9,21.1,37,370.59
6/14/2026,3:51:59 PM,6,17.75079,-64.61590,33.7,33.3,47.9,21.1,37,327.79
6/14/2026,3:52:00 PM,7,17.75077,-64.61591,33.7,33.3,48,21.1,37.1,310.49
6/14/2026,3:52:01 PM,8,17.75076,-64.61591,33.7,33.2,47.9,21.1,37.1,308.17
6/14/2026,3:52:02 PM,9,17.75075,-64.61592,33.7,33.2,48,21.1,37.1,345.45
6/14/2026,3:52:03 PM,10,17.75074,-64.61592,33.7,33.1,47.9,21.1,37.1,338.27
6/14/2026,3:52:04 PM,11,17.75073,-64.61593,33.7,33,47.9,21.1,37,260.65
6/14/2026,3:52:05 PM,12,17.75072,-64.61594,33.7,33.3,47.9,21.1,37.1,264.13
6/14/2026,3:52:06 PM,13,17.75071,-64.61594,33.7,33.1,48,21.1,37.1,345.01
6/14/2026,3:52:07 PM,14,17.75070,-64.61594,33.7,33.1,47.9,21.1,37.1,273.92
6/14/2026,3:52:08 PM,15,17.75069,-64.61595,33.7,33.1,47.9,21.1,37.1,276.02
6/14/2026,3:52:09 PM,16,17.75068,-64.61595,33.7,33.5,47.9,21.1,37.1,239.18
6/14/2026,3:52:10 PM,17,17.75066,-64.61595,33.7,33,47.9,21.1,37.1,263.93
6/14/2026,3:52:11 PM,18,17.75065,-64.61595,33.7,33.2,47.9,21.1,37.1,303.79
6/14/2026,3:52:12 PM,19,17.75063,-64.61595,33.7,33,47.9,21.1,37.1,313.3
6/14/2026,3:52:13 PM,20,17.75062,-64.61596,33.7,33.1,47.9,21.1,37,258.7
6/14/2026,3:52:14 PM,21,17.75061,-64.61596,33.7,33.1,47.9,21.1,37,210.05
6/14/2026,3:52:15 PM,22,17.75059,-64.61597,33.7,33,47.9,21.1,37,249.15
6/14/2026,3:52:16 PM,23,17.75058,-64.61597,33.7,33.1,47.9,21.1,37.1,278.99
6/14/2026,3:52:17 PM,24,17.75056,-64.61598,33.7,33,47.9,21.1,37.1,188.54
6/14/2026,3:52:18 PM,25,17.75055,-64.61599,33.7,33,47.9,21.1,37,161.03
6/14/2026,3:52:19 PM,26,17.75054,-64.61600,33.7,32.9,47.9,21.1,37,162.38
6/14/2026,3:52:20 PM,27,17.75054,-64.61601,33.7,33.1,47.9,21.1,37,165.27
6/14/2026,3:52:21 PM,28,17.75055,-64.61602,33.7,33,47.9,21.1,37,165.51
6/14/2026,3:52:22 PM,29,17.75055,-64.61601,33.7,33,47.8,21.1,37,180.68
6/14/2026,3:52:23 PM,30,17.75056,-64.61600,33.7,33,47.8,21.1,37,213.68
6/14/2026,3:52:24 PM,31,17.75056,-64.61600,33.7,33.2,47.8,21.1,37,180.65
6/14/2026,3:52:25 PM,32,17.75056,-64.61600,33.7,32.9,47.8,21.1,37,199.51
6/14/2026,3:52:26 PM,33,17.75055,-64.61600,33.7,32.9,47.8,21.1,37,205.86
6/14/2026,3:52:27 PM,34,17.75056,-64.61600,33.7,32.9,47.8,21.1,37,346.47
6/14/2026,3:52:28 PM,35,17.75055,-64.61600,33.7,32.8,47.8,21.1,37,681.06
6/14/2026,3:52:29 PM,36,17.75055,-64.61600,33.7,32.9,47.8,21.1,37,830.11
6/14/2026,3:52:30 PM,37,17.75055,-64.61601,33.7,32.9,47.8,21.1,37,663.8
6/14/2026,3:52:31 PM,38,17.75055,-64.61600,33.7,32.9,47.8,21.1,37,700.98
6/14/2026,3:52:32 PM,39,17.75055,-64.61600,33.7,32.9,47.8,21.1,37,626.87
6/14/2026,3:52:33 PM,40,17.75055,-64.61601,33.7,32.8,47.8,21.1,37,447.35
6/14/2026,3:52:34 PM,41,17.75054,-64.61601,33.7,32.9,47.8,21.1,37,369.66
6/14/2026,3:52:35 PM,42,17.75056,-64.61600,33.7,32.9,47.8,21.1,37,735.91
6/14/2026,3:52:36 PM,43,17.75056,-64.61600,33.7,32.9,47.8,21.1,37,646.65
6/14/2026,3:52:37 PM,44,17.75056,-64.61600,33.7,32.9,47.8,21.1,37,614.38
6/14/2026,3:52:38 PM,45,17.75056,-64.61600,33.7,33,47.8,21.1,37,612.97
6/14/2026,3:52:39 PM,46,17.75055,-64.61600,33.7,32.8,47.8,21.1,37,751.03
6/14/2026,3:52:40 PM,47,17.75055,-64.61600,33.7,32.9,47.8,21.1,37,908.87
6/14/2026,3:52:41 PM,48,17.75055,-64.61600,33.7,33,47.9,21.1,37,995.23
6/14/2026,3:52:42 PM,49,17.75055,-64.61601,33.7,32.8,47.8,21.1,37,1049.09
6/14/2026,3:52:43 PM,50,17.75055,-64.61601,33.7,33,47.8,21.1,37,1027.73
6/14/2026,3:52:44 PM,51,17.75055,-64.61601,33.7,33.1,47.8,21.1,37,1051.51
6/14/2026,3:52:45 PM,52,17.75055,-64.61601,33.7,32.8,47.8,21.1,37,1182.51
6/14/2026,3:52:46 PM,53,17.75055,-64.61601,33.7,32.9,47.8,21.1,37,1283.7
6/14/2026,3:52:47 PM,54,17.75055,-64.61601,33.7,32.9,47.8,21.1,37,1225.49
6/14/2026,3:52:48 PM,55,17.75055,-64.61601,33.7,32.9,47.8,21.1,37,1130.87
6/14/2026,3:52:49 PM,56,17.75056,-64.61600,33.7,32.9,47.8,21.1,37,1054.59
6/14/2026,3:52:50 PM,57,17.75055,-64.61601,33.7,32.9,47.8,21.1,37,1103.85
6/14/2026,3:52:51 PM,58,17.75056,-64.61601,33.7,32.9,47.8,21.1,37,1188.73
6/14/2026,3:52:52 PM,59,17.75056,-64.61601,33.7,33.1,47.8,21.1,37,1402.45
6/14/2026,3:52:53 PM,60,17.75056,-64.61601,33.7,32.9,47.7,21.1,37.1,1622.85
6/14/2026,3:52:54 PM,61,17.75056,-64.61601,33.7,32.7,47.8,21.1,37,1300.62
6/14/2026,3:52:55 PM,62,17.75056,-64.61601,33.7,33.2,47.7,21.1,37.1,1144.18
6/14/2026,3:52:56 PM,63,17.75056,-64.61601,33.7,32.8,47.8,21.1,37.1,973.2
6/14/2026,3:52:57 PM,64,17.75056,-64.61601,33.7,32.9,47.8,21.1,37.1,978.9
6/14/2026,3:52:58 PM,65,17.75056,-64.61601,33.7,32.9,47.8,21.1,37.1,955.44
6/14/2026,3:52:59 PM,66,17.75056,-64.61600,33.7,32.9,47.7,21.1,37.1,939.26
6/14/2026,3:53:00 PM,67,17.75056,-64.61600,33.7,32.8,47.7,21.1,37.1,1032.04
6/14/2026,3:53:01 PM,68,17.75056,-64.61600,33.7,32.6,47.7,21.1,37.1,1059.76
6/14/2026,3:53:02 PM,69,17.75056,-64.61601,33.7,33,47.7,21.1,37.1,1236.25
6/14/2026,3:53:03 PM,70,17.75056,-64.61601,33.7,32.9,47.7,21.1,37,1121.03
6/14/2026,3:53:04 PM,71,17.75056,-64.61601,33.7,32.9,47.7,21.1,37,1284.72
6/14/2026,3:53:05 PM,72,17.75056,-64.61600,33.7,32.9,47.7,21.1,37,1518.15
6/14/2026,3:53:06 PM,73,17.75056,-64.61600,33.7,32.9,47.7,21.1,37,1186.09
6/14/2026,3:53:07 PM,74,17.75056,-64.61600,33.7,32.8,47.7,21.1,37.1,1077.89
