Date,Time,Elapsed Seconds,Latitude,Longitude,Temperature Probe-Temperature (&#x2103;),Humidity-Humidity (%RH),Dew Point-Dew Point (&#x2103;),Heat Index-Heat Index (&#x2103;),Ambient Light Intensity-Light (lux)
6/7/2026,2:08:46 PM,0,17.69416,-64.83180,33.9,52.3,22.3,37.9,238.6
6/7/2026,2:08:47 PM,1,17.69417,-64.83180,33.7,52.3,22.3,37.9,240.33
6/7/2026,2:08:48 PM,2,17.69418,-64.83180,33.9,52.4,22.4,38,293.85
6/7/2026,2:08:49 PM,3,17.69419,-64.83180,33.9,52.4,22.4,38,227.01
6/7/2026,2:08:50 PM,4,17.69420,-64.83180,34,52.4,22.4,38,271.96
6/7/2026,2:08:51 PM,5,17.69421,-64.83181,33.8,52.4,22.4,38,174.62
6/7/2026,2:08:52 PM,6,17.69421,-64.83181,34,52.4,22.4,38,294.8
6/7/2026,2:08:53 PM,7,17.69421,-64.83181,33.7,52.4,22.4,38,324.48
6/7/2026,2:08:54 PM,8,17.69424,-64.83182,33.9,52.4,22.4,38,286.73
6/7/2026,2:08:55 PM,9,17.69425,-64.83182,33.9,52.4,22.4,38.1,275.96
6/7/2026,2:08:56 PM,10,17.69427,-64.83182,34.1,52.6,22.5,38.1,248.38
6/7/2026,2:08:57 PM,11,17.69428,-64.83182,34,52.5,22.5,38.1,222
6/7/2026,2:08:58 PM,12,17.69428,-64.83182,34,52.3,22.4,38,290.64
6/7/2026,2:08:59 PM,13,17.69430,-64.83183,34.2,52.2,22.4,38,392.22
6/7/2026,2:09:00 PM,14,17.69431,-64.83183,33.7,51.8,22.3,37.9,302.32
6/7/2026,2:09:01 PM,15,17.69432,-64.83183,33.8,51.5,22.2,37.8,373.08
6/7/2026,2:09:02 PM,16,17.69433,-64.83183,33.7,51.4,22.1,37.8,391.04
6/7/2026,2:09:03 PM,17,17.69434,-64.83183,33.8,51.3,22.1,37.7,284.62
6/7/2026,2:09:04 PM,18,17.69435,-64.83184,33.8,51.1,22,37.7,399.69
6/7/2026,2:09:05 PM,19,17.69437,-64.83184,33.9,51.1,22,37.7,472.95
6/7/2026,2:09:06 PM,20,17.69438,-64.83184,33.8,51.1,22,37.7,275.39
6/7/2026,2:09:07 PM,21,17.69439,-64.83183,34,51.1,22.1,37.7,384.66
6/7/2026,2:09:08 PM,22,17.69440,-64.83183,33.7,51.2,22.1,37.8,306.98
6/7/2026,2:09:09 PM,23,17.69442,-64.83183,34,51.1,22.1,37.8,347.61
6/7/2026,2:09:10 PM,24,17.69443,-64.83183,33.5,51,22,37.7,336.98
6/7/2026,2:09:11 PM,25,17.69444,-64.83183,33.7,50.9,22,37.7,373.29
6/7/2026,2:09:12 PM,26,17.69445,-64.83183,33.8,50.9,22,37.7,381.96
6/7/2026,2:09:13 PM,27,17.69446,-64.83183,33.7,51,22,37.8,443.2
6/7/2026,2:09:14 PM,28,17.69447,-64.83183,33.5,51,22,37.8,409.57
6/7/2026,2:09:15 PM,29,17.69448,-64.83183,33.7,50.9,22,37.8,456.6
6/7/2026,2:09:16 PM,30,17.69448,-64.83184,33.6,50.8,22,37.7,449.93
6/7/2026,2:09:17 PM,31,17.69449,-64.83184,33.5,50.7,22,37.7,288.4
6/7/2026,2:09:18 PM,32,17.69449,-64.83184,33.8,50.5,21.9,37.7,405.33
6/7/2026,2:09:19 PM,33,17.69449,-64.83184,33.6,50.3,21.8,37.6,378.03
6/7/2026,2:09:20 PM,34,17.69452,-64.83184,33.5,50.1,21.8,37.5,298.5
6/7/2026,2:09:21 PM,35,17.69453,-64.83184,33.4,50.1,21.8,37.5,303.28
6/7/2026,2:09:22 PM,36,17.69455,-64.83184,33.4,50.1,21.8,37.5,332.56
