Date,Time,Elapsed Seconds,Latitude,Longitude,Temperature Probe-Temperature (&#x2103;),Humidity-Humidity (%RH),Dew Point-Dew Point (&#x2103;),Heat Index-Heat Index (&#x2103;),Ambient Light Intensity-Light (lux)
6/7/2026,2:45:04 PM,0,17.70080,-64.83489,32.8,54.8,22.8,37.9,1230.89
6/7/2026,2:45:05 PM,1,17.70081,-64.83488,32.9,54.8,22.8,37.9,1225.53
6/7/2026,2:45:06 PM,2,17.70081,-64.83487,32.7,54.9,22.8,37.9,1035.31
6/7/2026,2:45:07 PM,3,17.70082,-64.83486,32.8,54.8,22.8,37.9,1102.24
6/7/2026,2:45:08 PM,4,17.70082,-64.83485,33,54.8,22.8,37.9,916.31
6/7/2026,2:45:09 PM,5,17.70082,-64.83483,32.8,54.8,22.8,37.9,929.96
6/7/2026,2:45:10 PM,6,17.70082,-64.83482,33,54.8,22.8,37.9,1051.2
6/7/2026,2:45:11 PM,7,17.70083,-64.83481,33,54.8,22.8,37.9,1150.95
6/7/2026,2:45:12 PM,8,17.70084,-64.83480,33,54.9,22.8,38,1253.48
6/7/2026,2:45:13 PM,9,17.70084,-64.83478,32.9,54.9,22.8,38,1386.89
6/7/2026,2:45:14 PM,10,17.70084,-64.83477,32.9,55,22.9,38,1382.57
6/7/2026,2:45:15 PM,11,17.70085,-64.83476,33,55,22.9,38,1297.01
6/7/2026,2:45:16 PM,12,17.70085,-64.83475,32.9,55,22.9,38.1,1512.1
6/7/2026,2:45:17 PM,13,17.70085,-64.83473,33,54.9,22.8,38,1510.45
6/7/2026,2:45:18 PM,14,17.70086,-64.83472,32.9,54.8,22.8,38,1370.06
6/7/2026,2:45:19 PM,15,17.70086,-64.83471,32.8,54.8,22.8,38,1498.76
6/7/2026,2:45:20 PM,16,17.70086,-64.83470,32.8,54.8,22.8,38,1515.38
6/7/2026,2:45:21 PM,17,17.70087,-64.83468,32.9,54.9,22.8,38,1399.76
6/7/2026,2:45:22 PM,18,17.70087,-64.83467,32.8,54.9,22.8,38,1505.06
6/7/2026,2:45:23 PM,19,17.70087,-64.83466,33.1,55,22.9,38.1,1516.87
6/7/2026,2:45:24 PM,20,17.70087,-64.83465,33.1,55.1,22.9,38.1,1073.04
6/7/2026,2:45:25 PM,21,17.70088,-64.83464,32.9,55.1,22.9,38.1,1008.21
6/7/2026,2:45:26 PM,22,17.70088,-64.83463,33.1,55.1,22.9,38.1,1047.59
6/7/2026,2:45:27 PM,23,17.70088,-64.83462,33,55.1,22.9,38.1,1151.6
6/7/2026,2:45:28 PM,24,17.70088,-64.83460,33.1,55,22.9,38.1,989.09
6/7/2026,2:45:29 PM,25,17.70088,-64.83459,33.1,55,22.9,38.1,1372.75
6/7/2026,2:45:30 PM,26,17.70087,-64.83458,32.9,55.1,22.9,38.1,1125.04
6/7/2026,2:45:31 PM,27,17.70086,-64.83457,33.1,55,22.9,38.1,993.37
6/7/2026,2:45:32 PM,28,17.70085,-64.83457,33.1,54.8,22.8,38,954.29
6/7/2026,2:45:33 PM,29,17.70083,-64.83456,32.8,54.7,22.8,38,922.64
6/7/2026,2:45:34 PM,30,17.70082,-64.83456,33,54.7,22.8,38,910.75
6/7/2026,2:45:35 PM,31,17.70081,-64.83455,32.8,54.8,22.8,38,874.89
6/7/2026,2:45:36 PM,32,17.70080,-64.83455,33.1,54.8,22.8,38,984.56
6/7/2026,2:45:37 PM,33,17.70079,-64.83455,33,55,22.9,38,984.67
6/7/2026,2:45:38 PM,34,17.70077,-64.83454,33.1,55.1,22.9,38.1,1033.47
6/7/2026,2:45:39 PM,35,17.70076,-64.83454,33.2,55.3,23,38.1,1051.78
6/7/2026,2:45:40 PM,36,17.70075,-64.83454,33.1,55.3,23,38.2,1059.7
6/7/2026,2:45:41 PM,37,17.70074,-64.83453,33.2,55.3,23,38.2,1062.89
6/7/2026,2:45:42 PM,38,17.70073,-64.83453,33.1,55.3,23,38.2,1073.87
6/7/2026,2:45:43 PM,39,17.70072,-64.83453,33.4,55.3,23,38.2,1044.45
6/7/2026,2:45:44 PM,40,17.70070,-64.83452,33.2,55.3,23,38.2,1006.87
6/7/2026,2:45:45 PM,41,17.70068,-64.83451,33.2,55.3,23,38.2,1035.65
6/7/2026,2:45:46 PM,42,17.70067,-64.83451,33.4,55.2,22.9,38.1,1038.29
6/7/2026,2:45:47 PM,43,17.70066,-64.83451,33.4,55.2,22.9,38.1,1032.12
6/7/2026,2:45:48 PM,44,17.70065,-64.83450,33.3,55.2,22.9,38.1,1043.48
6/7/2026,2:45:49 PM,45,17.70063,-64.83449,33.3,55.2,22.9,38.1,1061.08
6/7/2026,2:45:50 PM,46,17.70063,-64.83449,33.5,55.1,22.9,38.1,1107.23
6/7/2026,2:45:51 PM,47,17.70062,-64.83448,33.4,55.2,22.9,38.2,1103.51
6/7/2026,2:45:52 PM,48,17.70061,-64.83448,33.3,55.1,22.9,38.1,1144.98
6/7/2026,2:45:53 PM,49,17.70060,-64.83448,33.4,55.1,22.9,38.1,1117.58
6/7/2026,2:45:54 PM,50,17.70058,-64.83447,33.4,55,22.9,38.1,1160.01
6/7/2026,2:45:55 PM,51,17.70057,-64.83447,33.4,55.1,22.9,38.1,1129.89
6/7/2026,2:45:56 PM,52,17.70056,-64.83447,33.4,55.2,22.9,38.2,1114.47
6/7/2026,2:45:57 PM,53,17.70054,-64.83446,33.3,55.3,23,38.2,1098.42
6/7/2026,2:45:58 PM,54,17.70053,-64.83446,33.4,55,22.9,38.1,1032.62
6/7/2026,2:45:59 PM,55,17.70051,-64.83445,33.4,54.6,22.8,38,1052.67
