Date,Time,Elapsed Seconds,Latitude,Longitude,Temperature Probe-Temperature (&#x2103;),Humidity-Humidity (%RH),Dew Point-Dew Point (&#x2103;),Heat Index-Heat Index (&#x2103;),Ambient Light Intensity-Light (lux)
6/7/2026,12:23:57 PM,0,17.71558,-64.81335,31.5,52.4,22.1,37.2,1903.02
6/7/2026,12:23:58 PM,1,17.71557,-64.81336,31.6,52.4,22.1,37.2,1981.58
6/7/2026,12:23:59 PM,2,17.71557,-64.81335,31.7,52.4,22.1,37.2,1709.58
6/7/2026,12:24:00 PM,3,17.71556,-64.81335,31.6,52.5,22.1,37.2,1866.21
6/7/2026,12:24:01 PM,4,17.71555,-64.81334,31.6,52.5,22.1,37.2,1642.26
6/7/2026,12:24:02 PM,5,17.71554,-64.81334,31.8,52.5,22.1,37.3,1604.22
6/7/2026,12:24:03 PM,6,17.71554,-64.81334,31.9,52.5,22.1,37.3,1858.86
6/7/2026,12:24:04 PM,7,17.71553,-64.81333,31.7,52.5,22.1,37.3,2121.47
6/7/2026,12:24:05 PM,8,17.71552,-64.81333,31.8,52.8,22.2,37.3,2043.47
6/7/2026,12:24:06 PM,9,17.71551,-64.81333,31.9,52.8,22.2,37.4,2324.89
6/7/2026,12:24:07 PM,10,17.71551,-64.81332,31.9,53.1,22.3,37.4,2160.58
6/7/2026,12:24:08 PM,11,17.71550,-64.81331,31.9,53.3,22.3,37.5,2209.51
6/7/2026,12:24:09 PM,12,17.71549,-64.81331,31.9,53.4,22.4,37.6,2314.37
6/7/2026,12:24:10 PM,13,17.71549,-64.81330,32,53.5,22.4,37.6,1854.55
6/7/2026,12:24:11 PM,14,17.71548,-64.81330,31.8,53.4,22.4,37.6,1793.99
6/7/2026,12:24:12 PM,15,17.71547,-64.81330,32.1,53.5,22.4,37.6,1681.58
6/7/2026,12:24:13 PM,16,17.71546,-64.81330,32,53.7,22.5,37.7,1599.46
6/7/2026,12:24:14 PM,17,17.71545,-64.81329,32,53.9,22.6,37.8,1738.66
6/7/2026,12:24:15 PM,18,17.71544,-64.81329,32.1,54.2,22.6,37.8,1712.86
6/7/2026,12:24:16 PM,19,17.71543,-64.81329,32.1,54.4,22.7,37.9,1869.83
6/7/2026,12:24:17 PM,20,17.71542,-64.81328,32.1,54.6,22.8,38,1506.74
6/7/2026,12:24:18 PM,21,17.71542,-64.81328,32.3,54.9,22.9,38.1,1607.35
6/7/2026,12:24:19 PM,22,17.71540,-64.81328,32.2,54.7,22.8,38.1,2076.22
6/7/2026,12:24:20 PM,23,17.71540,-64.81327,32.1,54.8,22.9,38.1,2266.4
6/7/2026,12:24:21 PM,24,17.71539,-64.81327,32.2,54.4,22.7,38,2238.26
6/7/2026,12:24:22 PM,25,17.71538,-64.81327,32,53.9,22.6,37.8,2093.75
6/7/2026,12:24:23 PM,26,17.71537,-64.81327,32,53.8,22.6,37.8,1881.88
6/7/2026,12:24:24 PM,27,17.71536,-64.81326,32.1,54,22.6,37.9,1866.66
6/7/2026,12:24:25 PM,28,17.71535,-64.81326,32.1,53.9,22.6,37.8,1601.1
6/7/2026,12:24:26 PM,29,17.71534,-64.81326,32.1,53.9,22.6,37.9,1518.21
6/7/2026,12:24:27 PM,30,17.71533,-64.81326,31.9,54.1,22.6,37.9,1683.55
6/7/2026,12:24:28 PM,31,17.71532,-64.81325,32,54.3,22.7,38,1378.08
6/7/2026,12:24:29 PM,32,17.71531,-64.81325,32,54.3,22.7,38,1528.87
6/7/2026,12:24:30 PM,33,17.71529,-64.81324,31.9,54.1,22.7,37.9,1874.1
6/7/2026,12:24:31 PM,34,17.71529,-64.81324,32,54,22.7,37.9,2084.12
6/7/2026,12:24:32 PM,35,17.71528,-64.81324,32,54,22.6,37.9,2371.27
6/7/2026,12:24:33 PM,36,17.71527,-64.81325,31.9,53.9,22.6,37.9,2368.46
6/7/2026,12:24:34 PM,37,17.71526,-64.81325,32,53.9,22.6,37.9,2500.52
6/7/2026,12:24:35 PM,38,17.71525,-64.81327,32,54,22.7,38,2133.93
6/7/2026,12:24:36 PM,39,17.71525,-64.81327,31.9,53.8,22.6,37.9,2543.48
6/7/2026,12:24:37 PM,40,17.71524,-64.81328,32,53.7,22.6,37.9,2686.09
6/7/2026,12:24:38 PM,41,17.71523,-64.81330,31.9,53.7,22.6,37.9,2463.1
6/7/2026,12:24:39 PM,42,17.71522,-64.81331,32,53.6,22.5,37.8,1975.78
6/7/2026,12:24:40 PM,43,17.71522,-64.81332,31.9,53.6,22.5,37.8,1684.31
6/7/2026,12:24:41 PM,44,17.71522,-64.81333,31.9,53.6,22.5,37.9,2685.9
6/7/2026,12:24:42 PM,45,17.71521,-64.81334,31.9,53.5,22.5,37.8,2301.73
6/7/2026,12:24:43 PM,46,17.71521,-64.81335,31.9,53.3,22.5,37.8,2040.11
6/7/2026,12:24:44 PM,47,17.71521,-64.81336,31.9,53.3,22.4,37.7,2735.64
6/7/2026,12:24:45 PM,48,17.71521,-64.81337,31.8,53.3,22.5,37.8,2468.2
6/7/2026,12:24:46 PM,49,17.71520,-64.81339,32,53.3,22.5,37.8,2492.22
6/7/2026,12:24:47 PM,50,17.71520,-64.81340,31.9,53.3,22.5,37.8,2236.54
6/7/2026,12:24:48 PM,51,17.71519,-64.81342,32.2,53.3,22.5,37.8,2390.11
6/7/2026,12:24:49 PM,52,17.71519,-64.81342,32,53.3,22.5,37.8,2607.47
6/7/2026,12:24:50 PM,53,17.71519,-64.81343,32.1,53.3,22.5,37.8,2454.09
6/7/2026,12:24:51 PM,54,17.71518,-64.81344,32,53.4,22.5,37.8,1983.17
6/7/2026,12:24:52 PM,55,17.71518,-64.81345,32.1,53.4,22.5,37.8,2312.2
6/7/2026,12:24:53 PM,56,17.71518,-64.81346,32.3,53.5,22.5,37.9,2233.19
6/7/2026,12:24:54 PM,57,17.71517,-64.81346,32.3,53.6,22.6,37.9,2232.48
6/7/2026,12:24:55 PM,58,17.71517,-64.81348,32.2,53.6,22.6,37.9,2405.56
6/7/2026,12:24:56 PM,59,17.71516,-64.81349,32.4,53.8,22.6,38,2041.7
6/7/2026,12:24:57 PM,60,17.71516,-64.81350,32.3,53.8,22.6,38,2344.69
6/7/2026,12:24:58 PM,61,17.71515,-64.81351,32.3,53.7,22.6,38,2571.96
6/7/2026,12:24:59 PM,62,17.71515,-64.81352,32.5,53.9,22.7,38.1,1969.21
6/7/2026,12:25:00 PM,63,17.71515,-64.81353,32.4,54,22.7,38.1,2574.97
6/7/2026,12:25:01 PM,64,17.71514,-64.81354,32.4,54,22.7,38.1,2526.04
6/7/2026,12:25:02 PM,65,17.71514,-64.81355,32.5,54.1,22.7,38.1,2212.12
6/7/2026,12:25:03 PM,66,17.71513,-64.81356,32.7,54.1,22.8,38.2,2314.08
6/7/2026,12:25:04 PM,67,17.71513,-64.81357,32.8,54.2,22.8,38.2,2287.36
6/7/2026,12:25:05 PM,68,17.71513,-64.81358,32.7,54.2,22.8,38.3,1762.46
6/7/2026,12:25:06 PM,69,17.71512,-64.81359,32.6,54.2,22.8,38.3,1794.36
6/7/2026,12:25:07 PM,70,17.71512,-64.81360,32.7,54.5,22.9,38.4,1636.34
6/7/2026,12:25:08 PM,71,17.71511,-64.81361,32.8,54.5,22.9,38.4,1524.27
6/7/2026,12:25:09 PM,72,17.71505,-64.81370,32.9,52.9,22.5,38.1,2373.77
6/7/2026,12:25:10 PM,73,17.71500,-64.81386,33,52.8,22.5,38.1,2145.73
6/7/2026,12:25:11 PM,74,17.71499,-64.81387,32.8,52.8,22.5,38.1,2071.72
6/7/2026,12:25:12 PM,75,17.71500,-64.81388,32.9,52.7,22.5,38.1,2083.82
6/7/2026,12:25:13 PM,76,17.71500,-64.81390,32.9,52.7,22.5,38.1,2173.53
6/7/2026,12:25:14 PM,77,17.71500,-64.81390,32.8,52.7,22.5,38.1,2116.75
6/7/2026,12:25:15 PM,78,17.71500,-64.81393,32.8,52.6,22.5,38.1,1708.64
6/7/2026,12:25:16 PM,79,17.71501,-64.81394,32.8,52.6,22.5,38.1,2034.82
6/7/2026,12:25:17 PM,80,17.71501,-64.81394,32.9,52.6,22.5,38.1,1957
6/7/2026,12:25:18 PM,81,17.71500,-64.81397,32.8,52.6,22.5,38.1,2014
6/7/2026,12:25:19 PM,82,17.71500,-64.81397,32.9,52.4,22.4,38.1,2223.91
6/7/2026,12:25:20 PM,83,17.71500,-64.81397,32.8,52.4,22.4,38,2091.14
6/7/2026,12:25:21 PM,84,17.71499,-64.81399,32.9,52.3,22.4,38,1728.38
6/7/2026,12:25:22 PM,85,17.71499,-64.81400,32.8,52.2,22.4,38,2016.66
6/7/2026,12:25:23 PM,86,17.71499,-64.81400,32.8,52.2,22.4,38,2188.42
6/7/2026,12:25:24 PM,87,17.71498,-64.81402,32.8,52,22.3,38,1634.21
6/7/2026,12:25:25 PM,88,17.71499,-64.81403,32.7,51.9,22.3,37.9,1497.9
6/7/2026,12:25:26 PM,89,17.71499,-64.81403,32.8,51.7,22.2,37.9,1233.73
6/7/2026,12:25:27 PM,90,17.71498,-64.81405,32.8,51.6,22.2,37.9,1618.33
6/7/2026,12:25:28 PM,91,17.71498,-64.81405,32.8,51.5,22.2,37.8,1836.43
6/7/2026,12:25:29 PM,92,17.71498,-64.81406,32.7,51.5,22.2,37.9,1640.38
6/7/2026,12:25:30 PM,93,17.71497,-64.81409,32.5,51.6,22.2,37.9,1940.77
6/7/2026,12:25:31 PM,94,17.71497,-64.81410,32.5,51.7,22.3,38,1805.41
6/7/2026,12:25:32 PM,95,17.71497,-64.81410,32.5,51.8,22.3,38,2121.24
6/7/2026,12:25:33 PM,96,17.71496,-64.81413,32.5,52,22.4,38.1,2282.02
6/7/2026,12:25:34 PM,97,17.71496,-64.81414,32.6,52.1,22.4,38.1,1556.73
6/7/2026,12:25:35 PM,98,17.71496,-64.81414,32.8,52.1,22.4,38.1,1800.79
6/7/2026,12:25:36 PM,99,17.71496,-64.81416,32.7,52,22.4,38.1,1905.68
6/7/2026,12:25:37 PM,100,17.71496,-64.81416,32.8,52,22.4,38.1,1977.65
6/7/2026,12:25:38 PM,101,17.71495,-64.81417,32.7,52,22.4,38.1,2157.68
6/7/2026,12:25:39 PM,102,17.71495,-64.81418,32.7,52.1,22.4,38.1,1547.81
6/7/2026,12:25:40 PM,103,17.71495,-64.81419,32.6,52,22.4,38.1,1779.45
6/7/2026,12:25:41 PM,104,17.71495,-64.81420,32.7,52,22.4,38.1,1362.89
6/7/2026,12:25:42 PM,105,17.71493,-64.81421,32.7,52,22.4,38.1,1513.56
6/7/2026,12:25:43 PM,106,17.71493,-64.81421,32.8,52,22.4,38.1,1891.32
6/7/2026,12:25:44 PM,107,17.71492,-64.81422,32.7,52,22.4,38.1,1798.76
6/7/2026,12:25:45 PM,108,17.71491,-64.81424,32.7,52,22.4,38.1,1235.03
6/7/2026,12:25:46 PM,109,17.71491,-64.81424,32.8,52,22.4,38.1,1031.14
6/7/2026,12:25:47 PM,110,17.71492,-64.81424,32.8,52,22.4,38.1,1455.03
6/7/2026,12:25:48 PM,111,17.71491,-64.81424,32.7,52.1,22.4,38.2,917.26
6/7/2026,12:25:49 PM,112,17.71492,-64.81424,32.7,52.1,22.4,38.2,1183.32
6/7/2026,12:25:50 PM,113,17.71491,-64.81425,32.8,52,22.4,38.1,1103.59
