Date,Time,Elapsed Seconds,Temperature Probe-Temperature (&#x2103;),Humidity-Humidity (%RH),Dew Point-Dew Point (&#x2103;),Heat Index-Heat Index (&#x2103;),Ambient Light Intensity-Light (lux)
6/7/2026,3:08:56 PM,0.00,32.6,54.9,23,38.4,268.48
6/7/2026,3:08:57 PM,1.00,32.5,54.9,23,38.3,260.78
6/7/2026,3:08:58 PM,2.00,32.4,54.9,22.9,38.3,277.51
6/7/2026,3:08:59 PM,3.00,32.5,54.9,22.9,38.2,259.03
6/7/2026,3:09:00 PM,4.00,32.5,54.9,22.9,38.2,294.01
6/7/2026,3:09:01 PM,5.00,32.5,55,22.9,38.2,295.38
6/7/2026,3:09:02 PM,6.00,32.6,55,22.9,38.2,355.21
6/7/2026,3:09:03 PM,7.00,32.5,55.1,22.9,38.2,527.06
6/7/2026,3:09:04 PM,8.00,32.6,55.3,23,38.2,600.17
6/7/2026,3:09:05 PM,9.00,32.7,55.4,23,38.2,636.46
6/7/2026,3:09:06 PM,10.00,32.5,55.4,23,38.2,616.08
6/7/2026,3:09:07 PM,11.00,32.6,55.4,23,38.2,608.09
6/7/2026,3:09:08 PM,12.00,32.7,55.4,23,38.2,609.23
6/7/2026,3:09:09 PM,13.00,32.8,55.3,22.9,38.1,580.85
6/7/2026,3:09:10 PM,14.00,32.5,55.1,22.9,38,603.73
6/7/2026,3:09:11 PM,15.00,32.6,55.1,22.9,38,589.15
6/7/2026,3:09:12 PM,16.00,32.4,55.1,22.9,38,420.76
6/7/2026,3:09:13 PM,17.00,32.4,55.1,22.9,38,489.55
6/7/2026,3:09:14 PM,18.00,32.6,55.1,22.9,38,366.63
6/7/2026,3:09:15 PM,19.00,32.5,55,22.8,38,297.17
6/7/2026,3:09:16 PM,20.00,32.5,55,22.8,37.9,543.08
6/7/2026,3:09:17 PM,21.00,32.6,55.1,22.8,37.9,575.01
6/7/2026,3:09:18 PM,22.00,32.6,55.1,22.8,37.9,527.72
6/7/2026,3:09:19 PM,23.00,32.4,55.1,22.9,38,544.93
6/7/2026,3:09:20 PM,24.00,32.5,55.1,22.8,37.9,409.4
6/7/2026,3:09:21 PM,25.00,32.6,55,22.8,37.9,240.65
6/7/2026,3:09:22 PM,26.00,32.6,55,22.8,37.9,200.16
6/7/2026,3:09:23 PM,27.00,32.5,55.1,22.8,37.9,234.35
6/7/2026,3:09:24 PM,28.00,32.5,55.2,22.8,37.9,357.21
6/7/2026,3:09:25 PM,29.00,32.5,55.2,22.8,37.9,349.35
6/7/2026,3:09:26 PM,30.00,32.6,55.2,22.8,37.9,325.42
6/7/2026,3:09:27 PM,31.00,32.6,55.3,22.9,37.9,278.94
6/7/2026,3:09:28 PM,32.00,32.6,55.3,22.9,37.9,256.53
6/7/2026,3:09:29 PM,33.00,32.7,55.3,22.9,37.9,303.87
6/7/2026,3:09:30 PM,34.00,32.6,55.4,22.9,37.9,220.24
6/7/2026,3:09:31 PM,35.00,32.6,55.4,22.9,37.9,336.91
6/7/2026,3:09:32 PM,36.00,32.6,55.4,22.9,37.9,356.08
6/7/2026,3:09:33 PM,37.00,32.5,55.5,22.9,37.9,320.38
6/7/2026,3:09:34 PM,38.00,32.5,55.5,22.9,37.9,293.62
6/7/2026,3:09:35 PM,39.00,32.5,55.6,22.9,37.9,305.38
6/7/2026,3:09:36 PM,40.00,32.6,55.7,23,38,273.29
6/7/2026,3:09:37 PM,41.00,32.6,55.8,23,38,286.24
6/7/2026,3:09:38 PM,42.00,32.7,55.9,23,38,204.74
6/7/2026,3:09:39 PM,43.00,32.5,55.9,23,38,226.68
6/7/2026,3:09:40 PM,44.00,32.7,55.8,23,38,389.1
6/7/2026,3:09:41 PM,45.00,32.6,55.9,23,38,445.4
6/7/2026,3:09:42 PM,46.00,32.4,55.8,23,38,554.82
6/7/2026,3:09:43 PM,47.00,32.5,55.7,22.9,37.9,543.06
6/7/2026,3:09:44 PM,48.00,32.6,55.7,22.9,37.9,520.58
6/7/2026,3:09:45 PM,49.00,32.6,55.7,22.9,37.9,541.67
6/7/2026,3:09:46 PM,50.00,32.6,55.5,22.9,37.8,553.52
6/7/2026,3:09:47 PM,51.00,32.6,55.3,22.8,37.8,545.21
6/7/2026,3:09:48 PM,52.00,32.5,55.4,22.8,37.8,502.5
6/7/2026,3:09:49 PM,53.00,32.7,55.1,22.7,37.7,529.35
6/7/2026,3:09:50 PM,54.00,32.6,54.8,22.6,37.6,613.26
6/7/2026,3:09:51 PM,55.00,32.6,54.8,22.6,37.6,530.03
6/7/2026,3:09:52 PM,56.00,32.4,54.8,22.7,37.6,491.2
6/7/2026,3:09:53 PM,57.00,32.4,54.8,22.7,37.6,430.61
6/7/2026,3:09:54 PM,58.00,32.5,54.9,22.7,37.6,365.87
6/7/2026,3:09:55 PM,59.00,32.6,55,22.7,37.6,346.37
6/7/2026,3:09:56 PM,60.00,32.6,55,22.7,37.7,345.61
6/7/2026,3:09:57 PM,61.00,32.6,55,22.7,37.6,329.78
6/7/2026,3:09:58 PM,62.00,32.5,54.8,22.6,37.6,392.21
6/7/2026,3:09:59 PM,63.00,32.5,54.8,22.6,37.6,356.4
6/7/2026,3:10:00 PM,64.00,32.5,54.8,22.6,37.6,394.67
6/7/2026,3:10:01 PM,65.00,32.6,54.8,22.6,37.6,392
6/7/2026,3:10:02 PM,66.00,32.5,54.7,22.6,37.5,399.12
6/7/2026,3:10:03 PM,67.00,32.6,54.8,22.6,37.5,401.86
6/7/2026,3:10:04 PM,68.00,32.5,54.8,22.6,37.5,521.97
6/7/2026,3:10:05 PM,69.00,32.4,54.8,22.6,37.6,574.25
6/7/2026,3:10:06 PM,70.00,32.4,54.9,22.6,37.6,537.04
6/7/2026,3:10:07 PM,71.00,32.4,54.9,22.7,37.6,561.81
6/7/2026,3:10:08 PM,72.00,32.7,54.9,22.7,37.6,491.38
6/7/2026,3:10:09 PM,73.00,32.6,54.9,22.7,37.6,430.54
6/7/2026,3:10:10 PM,74.00,32.4,54.9,22.6,37.5,379.23
6/7/2026,3:10:11 PM,75.00,32.4,54.9,22.6,37.6,340.91
6/7/2026,3:10:12 PM,76.00,32.4,54.9,22.6,37.5,335.66
6/7/2026,3:10:13 PM,77.00,32.4,54.9,22.6,37.5,327.1
6/7/2026,3:10:14 PM,78.00,32.5,54.9,22.6,37.5,304.18
6/7/2026,3:10:15 PM,79.00,32.6,54.9,22.6,37.6,284.24
6/7/2026,3:10:16 PM,80.00,32.4,54.9,22.7,37.6,301.18
6/7/2026,3:10:17 PM,81.00,32.5,54.9,22.7,37.6,337.67
6/7/2026,3:10:18 PM,82.00,32.6,55,22.7,37.6,417.88
6/7/2026,3:10:19 PM,83.00,32.5,55,22.7,37.6,410.58
6/7/2026,3:10:20 PM,84.00,32.4,54.9,22.7,37.6,378
6/7/2026,3:10:21 PM,85.00,32.3,54.9,22.7,37.6,348.31
6/7/2026,3:10:22 PM,86.00,32.5,55,22.7,37.6,328.98
6/7/2026,3:10:23 PM,87.00,32.4,55.1,22.7,37.6,313.81
6/7/2026,3:10:24 PM,88.00,32.5,55.1,22.7,37.6,309.74
6/7/2026,3:10:25 PM,89.00,32.4,55.2,22.8,37.7,263.65
6/7/2026,3:10:26 PM,90.00,32.4,55.2,22.7,37.7,228.21
6/7/2026,3:10:27 PM,91.00,32.5,55.2,22.7,37.7,232.08
6/7/2026,3:10:28 PM,92.00,32.4,55.2,22.7,37.7,268.12
6/7/2026,3:10:29 PM,93.00,32.5,55.1,22.7,37.6,191.88
6/7/2026,3:10:30 PM,94.00,32.3,55,22.7,37.6,228.64
6/7/2026,3:10:31 PM,95.00,32.2,55.1,22.7,37.6,254.02
6/7/2026,3:10:32 PM,96.00,32.4,54.9,22.7,37.6,190.74
6/7/2026,3:10:33 PM,97.00,32.3,54.9,22.6,37.5,155.73
6/7/2026,3:10:34 PM,98.00,32.5,55,22.7,37.6,211.64
6/7/2026,3:10:35 PM,99.00,32.3,54.9,22.6,37.5,252.25
6/7/2026,3:10:36 PM,100.00,32.4,54.9,22.6,37.5,173.24
6/7/2026,3:10:37 PM,101.00,32.3,54.9,22.6,37.5,135.86
6/7/2026,3:10:38 PM,102.00,32.3,54.9,22.6,37.5,226.24
6/7/2026,3:10:39 PM,103.00,32.5,54.8,22.6,37.5,213.96
6/7/2026,3:10:40 PM,104.00,32.4,54.7,22.6,37.5,226.53
6/7/2026,3:10:41 PM,105.00,32.3,54.8,22.6,37.5,233
6/7/2026,3:10:42 PM,106.00,32.5,54.8,22.6,37.5,241.44
6/7/2026,3:10:43 PM,107.00,32.3,54.8,22.6,37.5,213.13
6/7/2026,3:10:44 PM,108.00,32.4,54.8,22.6,37.5,230.02
6/7/2026,3:10:45 PM,109.00,32.3,54.8,22.6,37.5,218.89
6/7/2026,3:10:46 PM,110.00,32.5,54.8,22.6,37.5,226.98
6/7/2026,3:10:47 PM,111.00,32.4,54.9,22.6,37.5,254.88
6/7/2026,3:10:48 PM,112.00,32.4,54.9,22.6,37.5,243.69
6/7/2026,3:10:49 PM,113.00,32.3,54.9,22.6,37.5,250.62
6/7/2026,3:10:50 PM,114.00,32.3,55,22.6,37.5,287.1
6/7/2026,3:10:51 PM,115.00,32.3,54.9,22.6,37.5,272.51
6/7/2026,3:10:52 PM,116.00,32.4,55,22.7,37.5,307.08
6/7/2026,3:10:53 PM,117.00,32.3,55,22.7,37.6,345.63
6/7/2026,3:10:54 PM,118.00,32.3,55.1,22.7,37.6,295.53
6/7/2026,3:10:55 PM,119.00,32.4,55.1,22.7,37.5,340.36
6/7/2026,3:10:56 PM,120.00,32.4,55.1,22.7,37.6,392.12
6/7/2026,3:10:57 PM,121.00,32.4,55.1,22.7,37.6,434.43
6/7/2026,3:10:58 PM,122.00,32.4,55.1,22.7,37.6,465.68
6/7/2026,3:10:59 PM,123.00,32.5,55.1,22.7,37.6,468.85
6/7/2026,3:11:00 PM,124.00,32.5,55.1,22.7,37.6,512.12
6/7/2026,3:11:01 PM,125.00,32.4,55.2,22.7,37.6,480.78
6/7/2026,3:11:02 PM,126.00,32.4,55.2,22.7,37.6,476.3
6/7/2026,3:11:03 PM,127.00,32.5,55,22.7,37.6,461.62
6/7/2026,3:11:04 PM,128.00,32.4,54.8,22.6,37.5,430.38
6/7/2026,3:11:05 PM,129.00,32.5,54.8,22.6,37.5,416.58
6/7/2026,3:11:06 PM,130.00,32.3,54.8,22.6,37.5,412.87
6/7/2026,3:11:07 PM,131.00,32.4,54.7,22.6,37.5,365.24
6/7/2026,3:11:08 PM,132.00,32.2,54.1,22.4,37.3,355.84
6/7/2026,3:11:09 PM,133.00,32.2,53.8,22.3,37.2,335.93
6/7/2026,3:11:10 PM,134.00,31.9,53.9,22.3,37.2,329.62
6/7/2026,3:11:11 PM,135.00,32.2,53.8,22.3,37.2,311.88
6/7/2026,3:11:12 PM,136.00,32,53.8,22.3,37.1,293.96
6/7/2026,3:11:13 PM,137.00,32.1,53.8,22.3,37.2,309.56
6/7/2026,3:11:14 PM,138.00,32.2,53.9,22.3,37.2,306.9
6/7/2026,3:11:15 PM,139.00,32,54,22.3,37.2,306.77
6/7/2026,3:11:16 PM,140.00,32.3,54,22.4,37.2,270.79
6/7/2026,3:11:17 PM,141.00,32,54.1,22.4,37.3,307.24
6/7/2026,3:11:18 PM,142.00,32.2,54.1,22.4,37.2,309.14
6/7/2026,3:11:19 PM,143.00,32.2,53.8,22.3,37.2,324.04
6/7/2026,3:11:20 PM,144.00,32,53.6,22.2,37.1,323.08
6/7/2026,3:11:21 PM,145.00,31.9,53.6,22.2,37.1,329.29
6/7/2026,3:11:22 PM,146.00,32,53.5,22.2,37,305.02
6/7/2026,3:11:23 PM,147.00,31.8,53.4,22.2,37,304.54
6/7/2026,3:11:24 PM,148.00,31.7,53.4,22.2,37,284.92
6/7/2026,3:11:25 PM,149.00,31.7,53.4,22.1,37,266.35
