Date,Time,Elapsed Seconds,Temperature Probe-Temperature (&#x2103;),Humidity-Humidity (%RH),Dew Point-Dew Point (&#x2103;),Heat Index-Heat Index (&#x2103;),Ambient Light Intensity-Light (lux)
6/7/2026,2:00:11 PM,0.00,32.9,56.3,22.7,37.1,62.05
6/7/2026,2:00:12 PM,1.00,32.9,56.4,22.7,37.1,57.19
6/7/2026,2:00:13 PM,2.00,32.9,56.5,22.7,37.1,46.29
6/7/2026,2:00:14 PM,3.00,32.8,56.7,22.7,37.1,92.7
6/7/2026,2:00:15 PM,4.00,32.8,56.7,22.8,37.1,98.31
6/7/2026,2:00:16 PM,5.00,32.9,56.7,22.8,37.1,108.2
6/7/2026,2:00:17 PM,6.00,32.8,56.7,22.7,37,105.57
6/7/2026,2:00:18 PM,7.00,32.8,56.7,22.7,37,101.56
6/7/2026,2:00:19 PM,8.00,33.1,56.9,22.8,37,87.09
6/7/2026,2:00:20 PM,9.00,33,57,22.8,37.1,77.27
6/7/2026,2:00:21 PM,10.00,33,57,22.8,37.1,78.24
6/7/2026,2:00:22 PM,11.00,32.9,57.1,22.8,37.1,101.08
6/7/2026,2:00:23 PM,12.00,32.9,57.1,22.8,37,148.41
6/7/2026,2:00:24 PM,13.00,32.9,57,22.8,37,127.88
6/7/2026,2:00:25 PM,14.00,32.9,57,22.8,37,304.2
6/7/2026,2:00:26 PM,15.00,33,57,22.8,37,168.06
6/7/2026,2:00:27 PM,16.00,32.9,57,22.8,37,206.43
6/7/2026,2:00:28 PM,17.00,32.9,57.1,22.8,37,173.54
6/7/2026,2:00:29 PM,18.00,32.8,57.1,22.8,37,227.22
6/7/2026,2:00:30 PM,19.00,32.9,56.9,22.7,37,202.2
6/7/2026,2:00:31 PM,20.00,32.9,56.8,22.7,36.9,205.04
6/7/2026,2:00:32 PM,21.00,32.8,56.6,22.6,36.8,215.12
6/7/2026,2:00:33 PM,22.00,32.7,56.5,22.6,36.8,177.67
6/7/2026,2:00:34 PM,23.00,32.7,56.3,22.5,36.7,187.83
6/7/2026,2:00:35 PM,24.00,32.7,56.2,22.5,36.7,164.34
6/7/2026,2:00:36 PM,25.00,32.8,56.3,22.5,36.7,163.21
6/7/2026,2:00:37 PM,26.00,32.8,56.3,22.5,36.7,182.79
6/7/2026,2:00:38 PM,27.00,32.7,56.3,22.5,36.7,170.96
6/7/2026,2:00:39 PM,28.00,32.8,56.3,22.6,36.7,175.33
6/7/2026,2:00:40 PM,29.00,32.8,56.4,22.6,36.7,171.88
6/7/2026,2:00:41 PM,30.00,32.7,56.4,22.6,36.8,188.85
6/7/2026,2:00:42 PM,31.00,32.5,56.5,22.6,36.8,198.88
6/7/2026,2:00:43 PM,32.00,32.7,56.5,22.6,36.8,203.87
6/7/2026,2:00:44 PM,33.00,32.7,56.5,22.6,36.8,179.49
6/7/2026,2:00:45 PM,34.00,32.7,56.5,22.6,36.8,192.96
6/7/2026,2:00:46 PM,35.00,32.6,56.5,22.6,36.8,188.72
6/7/2026,2:00:47 PM,36.00,32.9,56.6,22.6,36.8,200.62
6/7/2026,2:00:48 PM,37.00,32.7,56.7,22.6,36.8,187.57
6/7/2026,2:00:49 PM,38.00,32.6,56.7,22.6,36.8,162.96
6/7/2026,2:00:50 PM,39.00,32.6,56.7,22.7,36.9,178.06
6/7/2026,2:00:51 PM,40.00,32.6,56.7,22.7,36.9,173.05
6/7/2026,2:00:52 PM,41.00,32.8,56.7,22.7,36.8,166.56
6/7/2026,2:00:53 PM,42.00,32.6,56.7,22.7,36.9,148.4
6/7/2026,2:00:54 PM,43.00,32.8,56.7,22.7,36.9,173.47
6/7/2026,2:00:55 PM,44.00,32.7,56.6,22.6,36.8,174.72
6/7/2026,2:00:56 PM,45.00,32.5,56.6,22.6,36.8,167.2
6/7/2026,2:00:57 PM,46.00,32.6,56.6,22.6,36.8,183.1
6/7/2026,2:00:58 PM,47.00,32.6,56.5,22.6,36.8,163.27
6/7/2026,2:00:59 PM,48.00,32.6,56.5,22.6,36.8,172.27
6/7/2026,2:01:00 PM,49.00,32.6,56.5,22.6,36.8,219.62
6/7/2026,2:01:01 PM,50.00,32.8,56.5,22.6,36.8,240.6
6/7/2026,2:01:02 PM,51.00,32.6,56.5,22.6,36.8,192.48
6/7/2026,2:01:03 PM,52.00,32.6,56.5,22.6,36.8,159.9
6/7/2026,2:01:04 PM,53.00,32.6,56.6,22.6,36.8,147.06
6/7/2026,2:01:05 PM,54.00,32.7,56.6,22.6,36.9,139.13
6/7/2026,2:01:06 PM,55.00,32.7,56.6,22.7,36.9,124.87
6/7/2026,2:01:07 PM,56.00,32.7,56.6,22.6,36.9,133.1
6/7/2026,2:01:08 PM,57.00,32.6,56.6,22.6,36.9,159.22
6/7/2026,2:01:09 PM,58.00,32.6,56.6,22.6,36.9,149.74
6/7/2026,2:01:10 PM,59.00,32.7,56.6,22.6,36.9,158.47
6/7/2026,2:01:11 PM,60.00,32.7,56.5,22.6,36.9,161.67
6/7/2026,2:01:12 PM,61.00,32.5,56.5,22.6,36.8,153.24
6/7/2026,2:01:13 PM,62.00,32.6,56.5,22.6,36.9,132.38
6/7/2026,2:01:14 PM,63.00,32.7,56.5,22.6,36.8,132.63
6/7/2026,2:01:15 PM,64.00,32.5,56.5,22.6,36.8,84.16
6/7/2026,2:01:16 PM,65.00,32.6,56.4,22.6,36.8,84.33
6/7/2026,2:01:17 PM,66.00,32.6,56.4,22.6,36.8,34.31
6/7/2026,2:01:18 PM,67.00,32.5,56.3,22.6,36.8,75.48
6/7/2026,2:01:19 PM,68.00,32.5,56.3,22.6,36.8,66.52
6/7/2026,2:01:20 PM,69.00,32.4,56.2,22.5,36.8,73.39
6/7/2026,2:01:21 PM,70.00,32.5,56.4,22.6,36.8,82.87
6/7/2026,2:01:22 PM,71.00,32.3,56.4,22.6,36.9,98.16
6/7/2026,2:01:23 PM,72.00,32.4,56.6,22.7,36.9,93.09
6/7/2026,2:01:24 PM,73.00,32.5,56.4,22.6,36.9,113.31
6/7/2026,2:01:25 PM,74.00,32.3,56.4,22.6,36.8,83.09
6/7/2026,2:01:26 PM,75.00,32.3,56.4,22.6,36.8,67.31
6/7/2026,2:01:27 PM,76.00,32.2,56.5,22.6,36.8,59.65
6/7/2026,2:01:28 PM,77.00,32.3,56.1,22.5,36.8,61.04
6/7/2026,2:01:29 PM,78.00,32.3,56.1,22.5,36.8,87.23
6/7/2026,2:01:30 PM,79.00,32.3,56.2,22.5,36.8,116.34
6/7/2026,2:01:31 PM,80.00,32.3,56.1,22.5,36.8,172.84
6/7/2026,2:01:32 PM,81.00,32.3,56,22.5,36.7,139.41
6/7/2026,2:01:33 PM,82.00,32.3,56,22.5,36.7,112.68
6/7/2026,2:01:34 PM,83.00,32.4,55.9,22.5,36.7,96.19
6/7/2026,2:01:35 PM,84.00,32.2,55.9,22.5,36.7,81.09
6/7/2026,2:01:36 PM,85.00,32,55.8,22.4,36.7,115.95
6/7/2026,2:01:37 PM,86.00,32.3,55.4,22.3,36.6,233.97
6/7/2026,2:01:38 PM,87.00,32.3,55.3,22.3,36.5,182.09
6/7/2026,2:01:39 PM,88.00,32.3,54.9,22.2,36.4,170.81
6/7/2026,2:01:40 PM,89.00,32.3,54.8,22.1,36.4,167.43
