Date,Time,Elapsed Seconds,Latitude,Longitude,Temperature Probe-Temperature (&#x2103;),Humidity-Humidity (%RH),Dew Point-Dew Point (&#x2103;),Heat Index-Heat Index (&#x2103;),Ambient Light Intensity-Light (lux)
6/8/2026,10:01:39 AM,0,17.77591,-64.80177,-239.4,53.7,17.9,29,0.59
6/8/2026,10:01:40 AM,1,17.77590,-64.80177,-239.4,53.8,17.9,29,0.27
6/8/2026,10:01:41 AM,2,17.77590,-64.80176,-239.4,53.8,17.9,28.9,0.01
6/8/2026,10:01:42 AM,3,17.77590,-64.80176,-239.4,53.9,17.9,28.9,0.27
6/8/2026,10:01:43 AM,4,17.77591,-64.80176,-239.4,54,17.9,28.9,1.38
6/8/2026,10:01:44 AM,5,17.77591,-64.80178,-239.4,54,17.9,28.9,0.16
6/8/2026,10:01:45 AM,6,17.77591,-64.80179,-239.4,54.1,17.9,28.8,2.83
6/8/2026,10:01:46 AM,7,17.77591,-64.80179,-239.4,54.2,17.9,28.8,1.31
6/8/2026,10:01:47 AM,8,17.77591,-64.80179,-239.4,54.2,17.9,28.8,2.49
6/8/2026,10:01:48 AM,9,17.77592,-64.80182,-239.4,54.3,17.9,28.8,2.24
6/8/2026,10:01:49 AM,10,17.77592,-64.80183,-239.4,54.4,17.9,28.7,1.39
6/8/2026,10:01:50 AM,11,17.77592,-64.80184,-239.4,54.4,17.9,28.7,1.55
6/8/2026,10:01:51 AM,12,17.77592,-64.80186,-239.4,54.5,17.9,28.7,9.02
6/8/2026,10:01:52 AM,13,17.77592,-64.80187,-239.4,54.6,17.9,28.7,3.61
6/8/2026,10:01:53 AM,14,17.77591,-64.80188,-239.4,54.6,17.9,28.7,0.71
6/8/2026,10:01:54 AM,15,17.77591,-64.80190,-239.4,54.7,17.9,28.7,0.78
6/8/2026,10:01:55 AM,16,17.77591,-64.80191,-239.4,54.7,17.9,28.6,0.37
6/8/2026,10:01:56 AM,17,17.77591,-64.80192,-239.4,54.8,17.9,28.6,0.09
6/8/2026,10:01:57 AM,18,17.77590,-64.80193,-239.4,54.8,17.9,28.6,1.12
6/8/2026,10:01:58 AM,19,17.77591,-64.80194,-239.4,54.9,17.9,28.6,2.63
6/8/2026,10:01:59 AM,20,17.77590,-64.80195,-239.4,54.9,17.9,28.6,0.53
6/8/2026,10:02:00 AM,21,17.77590,-64.80196,-239.4,55,17.9,28.6,0.88
6/8/2026,10:02:01 AM,22,17.77590,-64.80197,-239.4,55,17.9,28.6,0.34
6/8/2026,10:02:02 AM,23,17.77591,-64.80198,-239.4,55.1,17.9,28.6,0.15
6/8/2026,10:02:03 AM,24,17.77590,-64.80199,-239.4,55.1,17.9,28.5,3.55
