Date,Time,Elapsed Seconds,Temperature Probe-Temperature (&#x2103;),Humidity-Humidity (%RH),Dew Point-Dew Point (&#x2103;),Heat Index-Heat Index (&#x2103;),Ambient Light Intensity-Light (lux)
6/8/2026,11:14:45 AM,0.00,32.7,48.7,21.2,36.9,27.04
6/8/2026,11:14:46 AM,1.00,32.4,48.7,21.3,37,28.75
6/8/2026,11:14:47 AM,2.00,32.4,48.7,21.3,37,27.44
6/8/2026,11:14:48 AM,3.00,32.4,48.7,21.3,37,27.48
6/8/2026,11:14:49 AM,4.00,32.4,48.8,21.3,36.9,28.3
6/8/2026,11:14:50 AM,5.00,32.5,48.8,21.3,37,27.3
6/8/2026,11:14:51 AM,6.00,32.3,48.8,21.3,37,27.35
6/8/2026,11:14:52 AM,7.00,32.6,48.8,21.3,37,27.43
6/8/2026,11:14:53 AM,8.00,32.6,48.8,21.3,37,27.9
6/8/2026,11:14:54 AM,9.00,32.4,48.8,21.3,37,28.04
6/8/2026,11:14:55 AM,10.00,32.5,48.8,21.3,37,27.61
6/8/2026,11:14:56 AM,11.00,32.4,48.8,21.3,37,31.93
6/8/2026,11:14:57 AM,12.00,32.4,48.7,21.3,37,28.61
6/8/2026,11:14:58 AM,13.00,32.4,48.6,21.2,36.9,28.09
6/8/2026,11:14:59 AM,14.00,32.5,48.6,21.2,36.9,42.93
6/8/2026,11:15:00 AM,15.00,32.2,48.6,21.2,36.9,26.28
6/8/2026,11:15:01 AM,16.00,32.2,48.5,21.2,36.9,39.8
6/8/2026,11:15:02 AM,17.00,32.2,48.5,21.2,36.9,26.53
6/8/2026,11:15:03 AM,18.00,32.2,48.4,21.2,36.9,30.56
6/8/2026,11:15:04 AM,19.00,32.3,48.3,21.1,36.8,27.94
6/8/2026,11:15:05 AM,20.00,32.2,48.2,21.1,36.8,35.3
6/8/2026,11:15:06 AM,21.00,32.2,48.2,21.1,36.8,33.69
6/8/2026,11:15:07 AM,22.00,32.1,48.1,21,36.7,32.04
6/8/2026,11:15:08 AM,23.00,32.2,48.1,21,36.7,29.01
6/8/2026,11:15:09 AM,24.00,32.2,48.1,21,36.7,27.58
6/8/2026,11:15:10 AM,25.00,32.1,48,21,36.7,28.42
6/8/2026,11:15:11 AM,26.00,32.1,48,21,36.7,29.29
6/8/2026,11:15:12 AM,27.00,32.1,48,21,36.7,26.44
6/8/2026,11:15:13 AM,28.00,32.2,48,21,36.7,27.79
6/8/2026,11:15:14 AM,29.00,32.1,48,21,36.7,28.33
6/8/2026,11:15:15 AM,30.00,32.2,48,21,36.6,28.64
6/8/2026,11:15:16 AM,31.00,32.1,48,21,36.6,28.68
6/8/2026,11:15:17 AM,32.00,32.1,48,21,36.6,28.05
6/8/2026,11:15:18 AM,33.00,32,48.1,21,36.6,29.55
6/8/2026,11:15:19 AM,34.00,32.1,48,21,36.6,33.77
6/8/2026,11:15:20 AM,35.00,31.9,48.1,21,36.6,42.62
6/8/2026,11:15:21 AM,36.00,31.9,48.1,21,36.6,35.19
6/8/2026,11:15:22 AM,37.00,32,48.1,21,36.6,28.79
6/8/2026,11:15:23 AM,38.00,32,48.2,21,36.6,27.98
6/8/2026,11:15:24 AM,39.00,32,48.2,21,36.6,29.35
6/8/2026,11:15:25 AM,40.00,32,48.2,21,36.6,27
6/8/2026,11:15:26 AM,41.00,31.8,48.2,21,36.6,28.05
6/8/2026,11:15:27 AM,42.00,31.9,48.2,21,36.6,27.27
6/8/2026,11:15:28 AM,43.00,31.9,48.2,21,36.6,28.13
6/8/2026,11:15:29 AM,44.00,31.7,48.2,21,36.6,27.41
6/8/2026,11:15:30 AM,45.00,31.7,48.2,21,36.6,28.55
6/8/2026,11:15:31 AM,46.00,31.9,48.3,21,36.6,28.72
6/8/2026,11:15:32 AM,47.00,31.9,48.3,21,36.6,28.24
6/8/2026,11:15:33 AM,48.00,31.9,48.3,21,36.6,27.55
6/8/2026,11:15:34 AM,49.00,31.8,48.3,21,36.6,29.88
6/8/2026,11:15:35 AM,50.00,31.8,48.3,21,36.6,32.29
6/8/2026,11:15:36 AM,51.00,31.8,48.3,21,36.6,27.22
6/8/2026,11:15:37 AM,52.00,31.7,48.3,21,36.6,22.93
6/8/2026,11:15:38 AM,53.00,31.7,48.4,21,36.6,28.02
6/8/2026,11:15:39 AM,54.00,31.8,48.4,21,36.6,25.08
6/8/2026,11:15:40 AM,55.00,31.8,48.4,21,36.5,24.33
6/8/2026,11:15:41 AM,56.00,31.8,48.4,21,36.5,26.14
6/8/2026,11:15:42 AM,57.00,31.7,48.4,21,36.5,24.98
6/8/2026,11:15:43 AM,58.00,31.7,48.5,21,36.5,26.15
6/8/2026,11:15:44 AM,59.00,31.7,48.5,21,36.5,26.02
6/8/2026,11:15:45 AM,60.00,31.7,48.5,21,36.5,25.81
6/8/2026,11:15:46 AM,61.00,31.8,48.5,21,36.5,26.66
6/8/2026,11:15:47 AM,62.00,31.8,48.5,21,36.5,25.12
6/8/2026,11:15:48 AM,63.00,31.7,48.5,21,36.5,25.73
6/8/2026,11:15:49 AM,64.00,31.8,48.5,21,36.5,24.27
6/8/2026,11:15:50 AM,65.00,31.7,48.5,21,36.5,24.39
6/8/2026,11:15:51 AM,66.00,31.8,48.6,21,36.5,24.69
6/8/2026,11:15:52 AM,67.00,31.7,48.6,21,36.5,24.67
6/8/2026,11:15:53 AM,68.00,31.7,48.6,21,36.5,24.63
6/8/2026,11:15:54 AM,69.00,31.9,48.6,21,36.5,25.61
6/8/2026,11:15:55 AM,70.00,31.7,48.6,21,36.5,24.67
6/8/2026,11:15:56 AM,71.00,31.7,48.6,21,36.5,26.19
6/8/2026,11:15:57 AM,72.00,31.7,48.6,21,36.5,27.05
6/8/2026,11:15:58 AM,73.00,31.7,48.7,21,36.5,28.39
6/8/2026,11:15:59 AM,74.00,31.7,48.7,21,36.5,25.11
6/8/2026,11:16:00 AM,75.00,31.9,48.7,21,36.5,26.86
6/8/2026,11:16:01 AM,76.00,31.7,48.7,21,36.5,27.82
6/8/2026,11:16:02 AM,77.00,31.7,48.7,21.1,36.5,27.83
6/8/2026,11:16:03 AM,78.00,31.7,48.7,21.1,36.5,28.13
6/8/2026,11:16:04 AM,79.00,31.9,48.8,21.1,36.5,28.59
6/8/2026,11:16:05 AM,80.00,31.9,48.8,21.1,36.5,29.21
6/8/2026,11:16:06 AM,81.00,31.7,48.8,21.1,36.5,30.61
6/8/2026,11:16:07 AM,82.00,31.9,48.9,21.1,36.5,35.89
6/8/2026,11:16:08 AM,83.00,31.7,48.9,21.1,36.5,32.8
6/8/2026,11:16:09 AM,84.00,31.7,48.9,21.1,36.5,28.47
6/8/2026,11:16:10 AM,85.00,31.7,48.9,21.1,36.5,31.75
6/8/2026,11:16:11 AM,86.00,31.7,48.9,21.1,36.5,58.48
