Date,Time,Elapsed Seconds,Latitude,Longitude,Temperature Probe-Temperature (&#x2103;),Humidity-Humidity (%RH),Dew Point-Dew Point (&#x2103;),Heat Index-Heat Index (&#x2103;),Ambient Light Intensity-Light (lux)
6/8/2026,11:49:28 AM,0,17.77103,-64.80265,35.4,44.6,20.9,38.1,272.42
6/8/2026,11:49:29 AM,1,17.77103,-64.80265,35.6,44.4,20.8,38,299.64
6/8/2026,11:49:30 AM,2,17.77103,-64.80265,35.6,44.8,21,38.2,279.71
6/8/2026,11:49:31 AM,3,17.77105,-64.80264,35.6,45,21.1,38.3,242.1
6/8/2026,11:49:32 AM,4,17.77105,-64.80264,35.7,45,21,38.2,260.43
6/8/2026,11:49:33 AM,5,17.77105,-64.80264,35.5,45,21,38.2,267.18
6/8/2026,11:49:34 AM,6,17.77104,-64.80264,35.4,44.8,21,38.2,270.22
6/8/2026,11:49:35 AM,7,17.77104,-64.80264,35.3,44.8,21,38.3,268.66
6/8/2026,11:49:36 AM,8,17.77104,-64.80264,35.4,44.9,21,38.3,273.15
6/8/2026,11:49:37 AM,9,17.77104,-64.80264,35.6,45,21.1,38.3,276.27
6/8/2026,11:49:38 AM,10,17.77104,-64.80264,35.6,45.1,21.1,38.3,268.89
6/8/2026,11:49:39 AM,11,17.77104,-64.80264,35.5,45,21.1,38.3,269.47
6/8/2026,11:49:40 AM,12,17.77104,-64.80264,35.6,45,21.1,38.3,261.01
6/8/2026,11:49:41 AM,13,17.77105,-64.80264,35.8,45.1,21.1,38.4,235.48
6/8/2026,11:49:42 AM,14,17.77105,-64.80264,35.9,45.2,21.2,38.4,300.96
6/8/2026,11:49:43 AM,15,17.77106,-64.80262,35.8,45.3,21.2,38.5,222.47
6/8/2026,11:49:44 AM,16,17.77106,-64.80263,36,45.4,21.2,38.5,203.94
6/8/2026,11:49:45 AM,17,17.77106,-64.80263,36.1,45.4,21.3,38.5,226.76
6/8/2026,11:49:46 AM,18,17.77107,-64.80264,35.9,45.5,21.3,38.6,239.6
6/8/2026,11:49:47 AM,19,17.77107,-64.80264,35.8,45.5,21.3,38.6,235.51
6/8/2026,11:49:48 AM,20,17.77107,-64.80264,36,45.5,21.3,38.6,233.69
6/8/2026,11:49:49 AM,21,17.77108,-64.80264,36.1,45.5,21.3,38.6,257.65
6/8/2026,11:49:50 AM,22,17.77108,-64.80264,36.1,45.5,21.3,38.6,265.12
6/8/2026,11:49:51 AM,23,17.77108,-64.80264,36.1,45.3,21.2,38.6,323.3
6/8/2026,11:49:52 AM,24,17.77108,-64.80264,36.1,45.3,21.3,38.6,311.03
6/8/2026,11:49:53 AM,25,17.77109,-64.80264,36.2,45.3,21.3,38.6,352.3
6/8/2026,11:49:54 AM,26,17.77110,-64.80264,36.3,44.9,21.1,38.5,436.65
6/8/2026,11:49:55 AM,27,17.77111,-64.80264,36,44.6,21,38.4,400.7
6/8/2026,11:49:56 AM,28,17.77112,-64.80264,35.9,44.6,21,38.4,374.96
6/8/2026,11:49:57 AM,29,17.77112,-64.80264,35.9,44.6,21,38.4,398.61
6/8/2026,11:49:58 AM,30,17.77113,-64.80264,35.7,44.7,21.1,38.5,459.75
6/8/2026,11:49:59 AM,31,17.77114,-64.80264,35.7,44.7,21.1,38.5,323.69
6/8/2026,11:50:00 AM,32,17.77114,-64.80264,35.6,44.7,21.1,38.5,303.66
6/8/2026,11:50:01 AM,33,17.77115,-64.80264,35.8,44.7,21.1,38.5,320.49
6/8/2026,11:50:02 AM,34,17.77117,-64.80264,35.7,44.7,21.1,38.5,347.69
6/8/2026,11:50:03 AM,35,17.77117,-64.80265,35.6,44.7,21.1,38.5,278.93
6/8/2026,11:50:04 AM,36,17.77118,-64.80265,35.6,44.7,21.1,38.5,187.71
6/8/2026,11:50:05 AM,37,17.77119,-64.80265,35.6,44.6,21.1,38.5,151.46
6/8/2026,11:50:06 AM,38,17.77119,-64.80265,35.3,44.7,21.1,38.6,125.41
6/8/2026,11:50:07 AM,39,17.77120,-64.80266,35.6,44.8,21.2,38.6,130.71
6/8/2026,11:50:08 AM,40,17.77120,-64.80266,35.3,44.8,21.2,38.6,141.53
6/8/2026,11:50:09 AM,41,17.77121,-64.80266,35.5,44.8,21.2,38.7,119.71
6/8/2026,11:50:10 AM,42,17.77121,-64.80266,35.5,44.9,21.2,38.7,119.03
6/8/2026,11:50:11 AM,43,17.77121,-64.80266,35.3,45,21.2,38.7,105.36
6/8/2026,11:50:12 AM,44,17.77121,-64.80266,35.4,45,21.3,38.7,110.82
6/8/2026,11:50:13 AM,45,17.77122,-64.80268,35.3,45,21.3,38.8,131.91
6/8/2026,11:50:14 AM,46,17.77122,-64.80268,35.2,45.1,21.3,38.8,167.54
6/8/2026,11:50:15 AM,47,17.77123,-64.80269,35.2,45,21.3,38.8,190.61
6/8/2026,11:50:16 AM,48,17.77124,-64.80270,35.2,45,21.3,38.8,240.42
6/8/2026,11:50:17 AM,49,17.77125,-64.80270,35.2,45.1,21.3,38.8,276.17
6/8/2026,11:50:18 AM,50,17.77125,-64.80272,35.4,45.1,21.3,38.8,263.91
6/8/2026,11:50:19 AM,51,17.77126,-64.80273,35.2,45.2,21.4,38.9,300.86
6/8/2026,11:50:20 AM,52,17.77126,-64.80274,35.5,45.2,21.4,38.9,467.48
6/8/2026,11:50:21 AM,53,17.77126,-64.80274,35.3,45.2,21.4,38.9,2866.67
6/8/2026,11:50:22 AM,54,17.77126,-64.80275,35.4,45.1,21.3,38.9,1448.99
