Date,Time,Elapsed Seconds,Temperature Probe-Temperature (&#x2103;),Humidity-Humidity (%RH),Dew Point-Dew Point (&#x2103;),Heat Index-Heat Index (&#x2103;),Ambient Light Intensity-Light (lux)
6/8/2026,4:00:36 PM,0.00,32.5,48.3,22,38.9,1007.59
6/8/2026,4:00:37 PM,1.00,32.6,48.4,22,38.8,1062.06
6/8/2026,4:00:38 PM,2.00,32.6,48.5,22,38.8,1078.06
6/8/2026,4:00:39 PM,3.00,32.7,48.5,22,38.7,959.84
6/8/2026,4:00:40 PM,4.00,32.5,48.6,22,38.7,1014.79
6/8/2026,4:00:41 PM,5.00,32.5,48.6,22,38.7,1011.42
6/8/2026,4:00:42 PM,6.00,32.7,48.7,22,38.6,941.07
6/8/2026,4:00:43 PM,7.00,32.6,48.8,22,38.6,870.95
6/8/2026,4:00:44 PM,8.00,32.6,48.9,22,38.6,854.29
6/8/2026,4:00:45 PM,9.00,32.7,48.9,22,38.6,774.01
6/8/2026,4:00:46 PM,10.00,32.7,49,22,38.5,927.43
6/8/2026,4:00:47 PM,11.00,32.6,49.1,22,38.5,1007.45
6/8/2026,4:00:48 PM,12.00,32.5,49.1,22,38.5,989.35
6/8/2026,4:00:49 PM,13.00,32.6,49.1,22,38.5,992.63
6/8/2026,4:00:50 PM,14.00,32.7,49.2,22,38.4,973.12
6/8/2026,4:00:51 PM,15.00,32.8,49.3,22,38.4,939.61
6/8/2026,4:00:52 PM,16.00,32.7,49.3,22,38.4,906.31
6/8/2026,4:00:53 PM,17.00,32.6,49.4,22,38.4,877.48
6/8/2026,4:00:54 PM,18.00,32.8,49.4,22,38.3,901.45
6/8/2026,4:00:55 PM,19.00,32.7,49.4,22,38.3,898.67
6/8/2026,4:00:56 PM,20.00,32.5,49.5,22,38.3,804.53
6/8/2026,4:00:57 PM,21.00,32.5,49.5,22,38.3,1091.93
6/8/2026,4:00:58 PM,22.00,32.6,49.6,22,38.3,996.82
6/8/2026,4:00:59 PM,23.00,32.7,49.6,22,38.3,976.26
6/8/2026,4:01:00 PM,24.00,32.9,49.6,22,38.2,799.92
6/8/2026,4:01:01 PM,25.00,32.8,49.6,22,38.2,783.92
6/8/2026,4:01:02 PM,26.00,32.8,49.7,22,38.2,825.72
6/8/2026,4:01:03 PM,27.00,32.7,49.7,22,38.2,764.79
6/8/2026,4:01:04 PM,28.00,32.7,49.8,22,38.2,638.67
6/8/2026,4:01:05 PM,29.00,32.8,49.8,22,38.1,690
6/8/2026,4:01:06 PM,30.00,32.5,49.9,22,38.1,770.23
6/8/2026,4:01:07 PM,31.00,32.8,49.9,22,38.1,718.29
6/8/2026,4:01:08 PM,32.00,32.6,50,22,38.1,277.65
6/8/2026,4:01:09 PM,33.00,32.6,50,22,38.1,455.65
6/8/2026,4:01:10 PM,34.00,32.5,50,22,38.1,452.09
6/8/2026,4:01:11 PM,35.00,32.5,50.2,22.1,38.1,676.84
6/8/2026,4:01:12 PM,36.00,32.5,50.2,22,38.1,815.43
6/8/2026,4:01:13 PM,37.00,32.7,50.3,22,38.1,1009.11
6/8/2026,4:01:14 PM,38.00,32.4,50.3,22,38,831
6/8/2026,4:01:15 PM,39.00,32.4,50.5,22.1,38.1,786.81
6/8/2026,4:01:16 PM,40.00,32.4,50.6,22.1,38,234.36
6/8/2026,4:01:17 PM,41.00,32.5,50.3,22,37.9,437.44
6/8/2026,4:01:18 PM,42.00,32.3,50.3,21.9,37.8,434.77
6/8/2026,4:01:19 PM,43.00,32.5,50.4,21.9,37.8,673.53
6/8/2026,4:01:20 PM,44.00,32.3,50,21.8,37.6,749.12
6/8/2026,4:01:21 PM,45.00,32.3,49.9,21.7,37.5,860.84
6/8/2026,4:01:22 PM,46.00,32.1,49.9,21.7,37.4,792.33
6/8/2026,4:01:23 PM,47.00,32.2,49.7,21.6,37.3,822.72
6/8/2026,4:01:24 PM,48.00,32.2,49.9,21.6,37.3,660.78
6/8/2026,4:01:25 PM,49.00,32.3,49.9,21.6,37.3,660.67
6/8/2026,4:01:26 PM,50.00,32.2,49.9,21.6,37.2,693.83
6/8/2026,4:01:27 PM,51.00,32.5,49.9,21.6,37.2,842.9
6/8/2026,4:01:28 PM,52.00,32.2,49.9,21.6,37.1,859.2
6/8/2026,4:01:29 PM,53.00,32.2,49.9,21.6,37.1,886.86
6/8/2026,4:01:30 PM,54.00,32.3,49.9,21.6,37.1,941.04
6/8/2026,4:01:31 PM,55.00,32.3,50,21.6,37.1,927.54
6/8/2026,4:01:32 PM,56.00,32.3,50,21.6,37.1,329.84
6/8/2026,4:01:33 PM,57.00,32.1,49.9,21.6,37.1,397.97
6/8/2026,4:01:34 PM,58.00,32.1,49.9,21.5,37,396.75
6/8/2026,4:01:35 PM,59.00,31.9,49.9,21.5,37,740.22
6/8/2026,4:01:36 PM,60.00,32,50,21.5,37.1,714.95
6/8/2026,4:01:37 PM,61.00,32.1,50,21.5,37,798.83
6/8/2026,4:01:38 PM,62.00,31.9,50,21.5,37,818.61
6/8/2026,4:01:39 PM,63.00,32.2,49.9,21.5,36.9,915.9
6/8/2026,4:01:40 PM,64.00,32,49.8,21.5,37,738.42
6/8/2026,4:01:41 PM,65.00,32,49.6,21.4,36.9,840.98
6/8/2026,4:01:42 PM,66.00,32,49.4,21.3,36.8,1009.31
6/8/2026,4:01:43 PM,67.00,32.1,49.3,21.3,36.7,1039.78
6/8/2026,4:01:44 PM,68.00,32,49.3,21.3,36.7,946.93
6/8/2026,4:01:45 PM,69.00,32,49.6,21.3,36.8,734.19
6/8/2026,4:01:46 PM,70.00,32.2,49.9,21.4,36.8,759.22
6/8/2026,4:01:47 PM,71.00,32.1,50,21.4,36.8,742.69
6/8/2026,4:01:48 PM,72.00,32,49.8,21.4,36.7,836.81
6/8/2026,4:01:49 PM,73.00,32.1,49.8,21.3,36.7,884.79
6/8/2026,4:01:50 PM,74.00,31.9,49.9,21.3,36.6,882.33
6/8/2026,4:01:51 PM,75.00,32,50,21.4,36.7,921.31
6/8/2026,4:01:52 PM,76.00,32.3,50,21.4,36.7,889.44
6/8/2026,4:01:53 PM,77.00,32.3,50,21.4,36.6,870.53
6/8/2026,4:01:54 PM,78.00,32,50,21.4,36.6,798.15
6/8/2026,4:01:55 PM,79.00,32,50,21.3,36.6,482.92
6/8/2026,4:01:56 PM,80.00,31.9,50.1,21.4,36.6,392.76
6/8/2026,4:01:57 PM,81.00,32.2,50.1,21.4,36.6,361.22
6/8/2026,4:01:58 PM,82.00,32.1,50.1,21.4,36.6,335.15
6/8/2026,4:01:59 PM,83.00,32.2,50.1,21.4,36.6,320.21
6/8/2026,4:02:00 PM,84.00,31.9,50.2,21.4,36.6,328.86
6/8/2026,4:02:01 PM,85.00,32,50.3,21.4,36.6,288.71
6/8/2026,4:02:02 PM,86.00,32.1,50.5,21.5,36.6,372.85
6/8/2026,4:02:03 PM,87.00,32.1,50.4,21.4,36.6,444.13
6/8/2026,4:02:04 PM,88.00,32.1,50.6,21.5,36.6,516.35
6/8/2026,4:02:05 PM,89.00,32,50.5,21.4,36.5,550.12
6/8/2026,4:02:06 PM,90.00,32,50.4,21.4,36.5,575.69
6/8/2026,4:02:07 PM,91.00,32,50.5,21.4,36.5,679.58
6/8/2026,4:02:08 PM,92.00,32,50.5,21.4,36.5,710.11
6/8/2026,4:02:09 PM,93.00,32,50.5,21.4,36.5,695.44
6/8/2026,4:02:10 PM,94.00,32,50.6,21.4,36.5,692.28
6/8/2026,4:02:11 PM,95.00,32.2,50.9,21.5,36.5,678.33
6/8/2026,4:02:12 PM,96.00,32.3,51,21.5,36.6,661.44
6/8/2026,4:02:13 PM,97.00,32,51.1,21.6,36.6,538.94
6/8/2026,4:02:14 PM,98.00,32,51.1,21.6,36.6,628.48
6/8/2026,4:02:15 PM,99.00,32.2,51.2,21.6,36.6,628.01
6/8/2026,4:02:16 PM,100.00,32,51.2,21.6,36.6,613.76
6/8/2026,4:02:17 PM,101.00,32,51.3,21.6,36.6,464.85
6/8/2026,4:02:18 PM,102.00,32,51.4,21.6,36.6,424.25
6/8/2026,4:02:19 PM,103.00,32,51.5,21.6,36.6,375.17
6/8/2026,4:02:20 PM,104.00,32.1,51.5,21.6,36.6,356.82
6/8/2026,4:02:21 PM,105.00,32,51.5,21.6,36.6,348.12
6/8/2026,4:02:22 PM,106.00,31.9,51.5,21.6,36.6,380.05
6/8/2026,4:02:23 PM,107.00,32.1,51.5,21.6,36.6,350.2
6/8/2026,4:02:24 PM,108.00,32,51.6,21.7,36.6,342.03
6/8/2026,4:02:25 PM,109.00,32.2,51.7,21.7,36.6,316.07
6/8/2026,4:02:26 PM,110.00,32.1,51.6,21.7,36.6,338.38
6/8/2026,4:02:27 PM,111.00,32,51.5,21.6,36.6,348.75
6/8/2026,4:02:28 PM,112.00,32.1,51.5,21.6,36.5,385.76
6/8/2026,4:02:29 PM,113.00,32.2,51.5,21.6,36.5,463.91
6/8/2026,4:02:30 PM,114.00,32.3,51.5,21.6,36.5,474.93
6/8/2026,4:02:31 PM,115.00,32.2,51.5,21.6,36.5,661.26
6/8/2026,4:02:32 PM,116.00,32.2,51.5,21.6,36.5,643.62
6/8/2026,4:02:33 PM,117.00,32,51.5,21.6,36.5,882.9
6/8/2026,4:02:34 PM,118.00,32.1,51.5,21.6,36.5,654.58
6/8/2026,4:02:35 PM,119.00,32,51.4,21.6,36.5,642.94
6/8/2026,4:02:36 PM,120.00,32.4,51.4,21.6,36.5,656.61
6/8/2026,4:02:37 PM,121.00,32.2,51.4,21.5,36.4,662.59
6/8/2026,4:02:38 PM,122.00,32.2,51.3,21.5,36.4,704.8
6/8/2026,4:02:39 PM,123.00,32.2,51.3,21.5,36.4,727.05
6/8/2026,4:02:40 PM,124.00,32.1,51.3,21.5,36.4,706.95
6/8/2026,4:02:41 PM,125.00,32.1,51.3,21.5,36.4,704.17
6/8/2026,4:02:42 PM,126.00,32.5,51.3,21.5,36.4,702.39
6/8/2026,4:02:43 PM,127.00,32.2,51.3,21.5,36.4,710.14
6/8/2026,4:02:44 PM,128.00,32.2,51.3,21.5,36.4,875.87
6/8/2026,4:02:45 PM,129.00,32.3,51.3,21.5,36.4,938.03
6/8/2026,4:02:46 PM,130.00,32.2,51.3,21.5,36.4,788.86
6/8/2026,4:02:47 PM,131.00,32.2,51.4,21.5,36.4,777.75
6/8/2026,4:02:48 PM,132.00,32.4,51.4,21.6,36.5,927.39
6/8/2026,4:02:49 PM,133.00,32.3,51.5,21.6,36.5,823.79
6/8/2026,4:02:50 PM,134.00,32.2,51.5,21.6,36.5,844.69
6/8/2026,4:02:51 PM,135.00,32.4,51.6,21.6,36.5,832.23
6/8/2026,4:02:52 PM,136.00,32.6,51.8,21.7,36.5,829.42
6/8/2026,4:02:53 PM,137.00,32.3,52.1,21.8,36.6,786.14
