Date,Time,Elapsed Seconds,Temperature Probe-Temperature (&#x2103;),Ambient Light Intensity-Light (lux),Heat Index-Heat Index (&#x2103;),Dew Point-Dew Point (&#x2103;),Humidity-Humidity (%RH)
6/8/2026,10:54:22 AM,0.00,33,658.97,36.7,21.3,49.6
6/8/2026,10:54:23 AM,1.00,32.9,710.01,36.8,21.4,49.7
6/8/2026,10:54:24 AM,2.00,32.9,672.5,36.8,21.4,49.7
6/8/2026,10:54:25 AM,3.00,32.9,683.33,36.7,21.3,49.6
6/8/2026,10:54:26 AM,4.00,33,697.19,36.7,21.3,49.5
6/8/2026,10:54:27 AM,5.00,32.8,704.98,36.7,21.3,49.3
6/8/2026,10:54:28 AM,6.00,32.8,699.08,36.7,21.2,49.2
6/8/2026,10:54:29 AM,7.00,32.9,685.01,36.7,21.3,49.4
6/8/2026,10:54:30 AM,8.00,32.8,660.98,36.7,21.3,49.4
6/8/2026,10:54:31 AM,9.00,32.9,662.89,36.7,21.3,49.4
6/8/2026,10:54:32 AM,10.00,32.9,477.17,36.7,21.3,49.3
6/8/2026,10:54:33 AM,11.00,32.7,629.72,36.6,21.2,49
6/8/2026,10:54:34 AM,12.00,32.8,665.64,36.7,21.2,49
6/8/2026,10:54:35 AM,13.00,32.8,599.25,36.7,21.2,49
6/8/2026,10:54:36 AM,14.00,31.5,190.84,36.5,21,48.5
6/8/2026,10:54:37 AM,15.00,31.5,309.33,36.5,21,48.5
6/8/2026,10:54:38 AM,16.00,31.6,226.38,36.5,21,48.4
6/8/2026,10:54:39 AM,17.00,31.3,193.45,36.5,21,48.4
6/8/2026,10:54:40 AM,18.00,31.4,97.6,36.5,21,48.4
6/8/2026,10:54:41 AM,19.00,31.4,113.15,36.4,20.9,48.3
6/8/2026,10:54:42 AM,20.00,31.3,161.09,36.4,20.9,48.3
6/8/2026,10:54:43 AM,21.00,31.4,172.85,36.4,20.9,48.3
6/8/2026,10:54:44 AM,22.00,31.4,198.43,36.4,20.9,48.3
6/8/2026,10:54:45 AM,23.00,31.4,157.78,36.4,20.9,48.3
6/8/2026,10:54:46 AM,24.00,31.3,213.17,36.4,20.9,48.3
6/8/2026,10:54:47 AM,25.00,31.3,339.5,36.4,20.9,48.3
6/8/2026,10:54:48 AM,26.00,31.3,375.43,36.4,20.9,48.3
6/8/2026,10:54:49 AM,27.00,31.4,374.28,36.4,20.9,48.3
6/8/2026,10:54:50 AM,28.00,31.4,460.27,36.4,20.9,48.3
6/8/2026,10:54:51 AM,29.00,31.4,493.48,36.4,20.9,48.3
6/8/2026,10:54:52 AM,30.00,31.3,597.34,36.4,20.9,48.3
6/8/2026,10:54:53 AM,31.00,31.5,449.35,36.4,20.9,48.3
6/8/2026,10:54:54 AM,32.00,31.6,392.08,36.4,20.9,48.3
6/8/2026,10:54:55 AM,33.00,31.4,443.41,36.4,20.9,48.3
6/8/2026,10:54:56 AM,34.00,31.4,609.64,36.3,20.8,48.1
6/8/2026,10:54:57 AM,35.00,31.6,639.58,36.4,20.9,48.1
6/8/2026,10:54:58 AM,36.00,31.4,623.31,36.4,20.9,48.1
6/8/2026,10:54:59 AM,37.00,31.3,589.51,36.4,20.9,48.1
6/8/2026,10:55:00 AM,38.00,31.6,607.92,36.3,20.8,48
6/8/2026,10:55:01 AM,39.00,31.5,698.86,36.3,20.8,48
6/8/2026,10:55:02 AM,40.00,31.6,720.69,36.4,20.9,48.1
6/8/2026,10:55:03 AM,41.00,31.7,635.23,36.4,20.8,48.1
6/8/2026,10:55:04 AM,42.00,31.6,590.69,36.4,20.9,48.1
6/8/2026,10:55:05 AM,43.00,31.6,613.91,36.4,20.8,48
6/8/2026,10:55:06 AM,44.00,31.6,672.72,36.4,20.8,48
6/8/2026,10:55:07 AM,45.00,31.3,789.9,36.4,20.8,48.1
6/8/2026,10:55:08 AM,46.00,31.4,644.58,36.4,20.9,48.1
6/8/2026,10:55:09 AM,47.00,31.7,627.45,36.3,20.8,47.9
6/8/2026,10:55:10 AM,48.00,31.3,603.45,36.3,20.8,47.8
6/8/2026,10:55:11 AM,49.00,31.6,632.75,36.3,20.8,47.8
6/8/2026,10:55:12 AM,50.00,31.6,624.06,36.3,20.7,47.7
6/8/2026,10:55:13 AM,51.00,31.3,755.29,36.2,20.7,47.7
6/8/2026,10:55:14 AM,52.00,31.4,669.25,36.2,20.7,47.7
6/8/2026,10:55:15 AM,53.00,31.4,616.17,36.2,20.7,47.7
6/8/2026,10:55:16 AM,54.00,31.6,660.06,36.3,20.7,47.8
6/8/2026,10:55:17 AM,55.00,31.5,642.09,36.3,20.8,47.8
6/8/2026,10:55:18 AM,56.00,31.6,742.01,36.3,20.8,47.8
6/8/2026,10:55:19 AM,57.00,31.6,582.72,36.3,20.8,47.8
6/8/2026,10:55:20 AM,58.00,31.5,737.2,36.3,20.8,47.8
6/8/2026,10:55:21 AM,59.00,31.6,764.23,36.3,20.8,47.9
6/8/2026,10:55:22 AM,60.00,31.6,567.22,36.3,20.8,47.9
6/8/2026,10:55:23 AM,61.00,31.6,661.37,36.3,20.8,47.9
6/8/2026,10:55:24 AM,62.00,31.6,724.37,36.3,20.8,48
