Date,Time,Elapsed Seconds,Latitude,Longitude,Temperature Probe-Temperature (&#x2103;),Humidity-Humidity (%RH),Dew Point-Dew Point (&#x2103;),Heat Index-Heat Index (&#x2103;),Ambient Light Intensity-Light (lux)
6/8/2026,10:02:57 AM,0,17.77594,-64.80167,31.3,57.4,21.3,33.5,136.36
6/8/2026,10:02:58 AM,1,17.77593,-64.80166,31.3,57.3,21.3,33.5,122.4
6/8/2026,10:02:59 AM,2,17.77594,-64.80165,31.3,57.4,21.3,33.5,169.34
6/8/2026,10:03:00 AM,3,17.77594,-64.80164,31.2,57.3,21.3,33.5,128.85
6/8/2026,10:03:01 AM,4,17.77595,-64.80163,31.3,57.3,21.3,33.5,119.09
6/8/2026,10:03:02 AM,5,17.77595,-64.80163,31.4,57.3,21.3,33.5,174.96
6/8/2026,10:03:03 AM,6,17.77595,-64.80161,31.4,57.3,21.3,33.5,226.51
6/8/2026,10:03:04 AM,7,17.77595,-64.80160,31.5,57.3,21.3,33.5,318.24
6/8/2026,10:03:05 AM,8,17.77595,-64.80159,31.3,57.3,21.3,33.5,271.91
6/8/2026,10:03:06 AM,9,17.77595,-64.80158,31.4,57.3,21.3,33.5,320.91
6/8/2026,10:03:07 AM,10,17.77593,-64.80158,31.4,57.3,21.3,33.5,332.98
6/8/2026,10:03:08 AM,11,17.77593,-64.80157,31.3,57.3,21.2,33.5,462.24
6/8/2026,10:03:09 AM,12,17.77593,-64.80157,31.6,57.2,21.3,33.5,410.8
6/8/2026,10:03:10 AM,13,17.77591,-64.80156,31.3,57.2,21.2,33.5,429.88
6/8/2026,10:03:11 AM,14,17.77591,-64.80155,31.3,57.2,21.2,33.5,475.64
6/8/2026,10:03:12 AM,15,17.77591,-64.80155,31.4,57.1,21.2,33.5,493.38
6/8/2026,10:03:13 AM,16,17.77592,-64.80154,31.3,57,21.2,33.5,425.38
6/8/2026,10:03:14 AM,17,17.77592,-64.80153,31.6,57,21.2,33.5,448.99
6/8/2026,10:03:15 AM,18,17.77592,-64.80151,31.6,57,21.2,33.5,417.81
6/8/2026,10:03:16 AM,19,17.77592,-64.80150,31.5,57,21.2,33.5,368.94
6/8/2026,10:03:17 AM,20,17.77591,-64.80150,31.7,57,21.2,33.5,363.46
6/8/2026,10:03:18 AM,21,17.77591,-64.80149,31.6,57,21.2,33.5,264.43
6/8/2026,10:03:19 AM,22,17.77590,-64.80148,31.5,57,21.2,33.6,169.21
6/8/2026,10:03:20 AM,23,17.77590,-64.80146,31.4,57,21.2,33.6,100.76
