Device Name,WBGT 1,,,,,,,,,,,,,,,,,,,,,,,,,,
Device Model,5400CL,,,,,,,,,,,,,,,,,,,,,,,,,,
Serial Number,3030083,,,,,,,,,,,,,,,,,,,,,,,,,,
FORMATTED DATE_TIME,Temperature,Wet Bulb Temp,Globe Temperature,Relative Humidity,Barometric Pressure,Altitude,Station Pressure,Wind Speed,Heat Index,Dew Point,Density Altitude,Crosswind,Headwind,Compass Magnetic Direction,NWB Temp,Compass True Direction,Thermal Work Limit,Wet Bulb Globe Temperature,Wind Chill,Data Type,Record name,Start time,Duration (H:M:S),Location description,Location address,Location coordinates,Notes
yyyy-MM-dd hh:mm:ss a,°F,°F,°F,%,inHg,ft,inHg,mph,°F,°F,ft,mph,mph,Deg,°F,Deg,w/m2,°F,°F,,,,,,,,
2026-06-08 12:20:25 PM,88.5,76.1,109.1,57.3,30.11,-183,30.11,4.1,96.4,71.5,1991,--,--,-,80.4,--,175.6,86.8,88.3,session,"Session - Jun 8, 2026 12:20:22 PM",2026-06-08 12:20:22 PM 12:20:22 PM,0:18:13,,,,Enter Notes
2026-06-08 12:20:30 PM,88.3,75.9,109.2,57.3,30.11,-183,30.11,2.3,95.9,71.2,1977,--,--,-,80.6,--,174.6,86.9,88.2,session,"Session - Jun 8, 2026 12:20:22 PM",2026-06-08 12:20:22 PM 12:20:22 PM,0:18:13,,,,Enter Notes
2026-06-08 12:20:35 PM,88.5,76.3,109,57.4,30.11,-183,30.11,1.8,96.4,71.5,1989,--,--,-,80.7,--,173.9,87,88.3,session,"Session - Jun 8, 2026 12:20:22 PM",2026-06-08 12:20:22 PM 12:20:22 PM,0:18:13,,,,Enter Notes
2026-06-08 12:20:40 PM,88,75.7,109.1,57.4,30.11,-183,30.11,5,95.7,71.1,1959,--,--,-,80.7,--,173.7,87,88,session,"Session - Jun 8, 2026 12:20:22 PM",2026-06-08 12:20:22 PM 12:20:22 PM,0:18:13,,,,Enter Notes
2026-06-08 12:20:45 PM,87.6,75.4,109.4,57.2,30.11,-181,30.11,5.2,94.5,70.6,1927,--,--,-,80.7,--,173.5,87.1,87.4,session,"Session - Jun 8, 2026 12:20:22 PM",2026-06-08 12:20:22 PM 12:20:22 PM,0:18:13,,,,Enter Notes
2026-06-08 12:20:50 PM,87.5,75.2,109.4,57.4,30.11,-183,30.11,3.9,94.6,70.6,1920,--,--,-,80.7,--,173.3,87.1,87.4,session,"Session - Jun 8, 2026 12:20:22 PM",2026-06-08 12:20:22 PM 12:20:22 PM,0:18:13,,,,Enter Notes
2026-06-08 12:20:55 PM,87.2,75,109.5,57.4,30.11,-183,30.11,5.1,93.9,70.2,1898,--,--,-,80.7,--,173.1,87.1,87.1,session,"Session - Jun 8, 2026 12:20:22 PM",2026-06-08 12:20:22 PM 12:20:22 PM,0:18:13,,,,Enter Notes
2026-06-08 12:21:00 PM,87.4,75,109.7,57.1,30.11,-181,30.11,2,94.5,70.4,1918,--,--,-,80.8,--,172.3,87.3,87.4,session,"Session - Jun 8, 2026 12:20:22 PM",2026-06-08 12:20:22 PM 12:20:22 PM,0:18:13,,,,Enter Notes
2026-06-08 12:21:05 PM,88,75.6,109.8,57.2,30.11,-181,30.11,4.5,95.5,70.9,1959,--,--,-,80.8,--,171.9,87.3,88,session,"Session - Jun 8, 2026 12:20:22 PM",2026-06-08 12:20:22 PM 12:20:22 PM,0:18:13,,,,Enter Notes
2026-06-08 12:21:10 PM,87.8,75.6,109.8,57.2,30.11,-181,30.11,4.7,94.8,70.7,1945,--,--,-,80.9,--,171.9,87.3,87.6,session,"Session - Jun 8, 2026 12:20:22 PM",2026-06-08 12:20:22 PM 12:20:22 PM,0:18:13,,,,Enter Notes
2026-06-08 12:21:15 PM,87.7,75.4,109.8,56.9,30.11,-181,30.11,3,94.6,70.5,1937,--,--,-,80.7,--,172.9,87.2,87.6,session,"Session - Jun 8, 2026 12:20:22 PM",2026-06-08 12:20:22 PM 12:20:22 PM,0:18:13,,,,Enter Notes
2026-06-08 12:21:20 PM,87.7,75.2,109.8,56.7,30.11,-187,30.11,9.3,94.3,70.3,1922,--,--,-,80.7,--,173.1,87.2,87.4,session,"Session - Jun 8, 2026 12:20:22 PM",2026-06-08 12:20:22 PM 12:20:22 PM,0:18:13,,,,Enter Notes
2026-06-08 12:21:25 PM,87.2,74.8,110,57.3,30.11,-183,30.11,4.7,93.9,70.2,1893,--,--,-,80.9,--,172.4,87.4,87.1,session,"Session - Jun 8, 2026 12:20:22 PM",2026-06-08 12:20:22 PM 12:20:22 PM,0:18:13,,,,Enter Notes
2026-06-08 12:21:30 PM,87.3,75.4,110,58,30.11,-183,30.11,4.1,94.5,70.7,1915,--,--,-,80.9,--,172.5,87.4,87.3,session,"Session - Jun 8, 2026 12:20:22 PM",2026-06-08 12:20:22 PM 12:20:22 PM,0:18:13,,,,Enter Notes
2026-06-08 12:21:35 PM,87.7,75.7,109.8,58.1,30.11,-181,30.11,1.2,95.2,71.2,1942,--,--,-,81,--,171.4,87.4,87.6,session,"Session - Jun 8, 2026 12:20:22 PM",2026-06-08 12:20:22 PM 12:20:22 PM,0:18:13,,,,Enter Notes
2026-06-08 12:21:40 PM,88.1,75.9,109.8,58,30.11,-181,30.11,1.4,95.9,71.4,1967,--,--,-,80.9,--,172.4,87.3,88,session,"Session - Jun 8, 2026 12:20:22 PM",2026-06-08 12:20:22 PM 12:20:22 PM,0:18:13,,,,Enter Notes
2026-06-08 12:21:45 PM,88.1,75.9,109.8,57.6,30.11,-181,30.11,3.4,95.7,71.3,1972,--,--,-,80.9,--,172.4,87.3,88,session,"Session - Jun 8, 2026 12:20:22 PM",2026-06-08 12:20:22 PM 12:20:22 PM,0:18:13,,,,Enter Notes
2026-06-08 12:21:50 PM,88.1,75.7,109.7,57.3,30.11,-181,30.11,3.2,95.5,71.1,1964,--,--,-,80.7,--,173.6,87.1,88,session,"Session - Jun 8, 2026 12:20:22 PM",2026-06-08 12:20:22 PM 12:20:22 PM,0:18:13,,,,Enter Notes
2026-06-08 12:21:55 PM,88.2,75.9,109.7,57.7,30.11,-181,30.11,2.9,96.1,71.4,1974,--,--,-,80.8,--,172.7,87.2,88.2,session,"Session - Jun 8, 2026 12:20:22 PM",2026-06-08 12:20:22 PM 12:20:22 PM,0:18:13,,,,Enter Notes
2026-06-08 12:22:00 PM,88.4,76.3,109.7,58,30.11,-183,30.11,1.9,96.6,71.8,1996,--,--,-,81,--,171.6,87.4,88.3,session,"Session - Jun 8, 2026 12:20:22 PM",2026-06-08 12:20:22 PM 12:20:22 PM,0:18:13,,,,Enter Notes
2026-06-08 12:22:05 PM,88.6,76.5,109.7,57.9,30.11,-183,30.11,3.1,97.2,71.9,2006,--,--,-,80.8,--,172.7,87.2,88.5,session,"Session - Jun 8, 2026 12:20:22 PM",2026-06-08 12:20:22 PM 12:20:22 PM,0:18:13,,,,Enter Notes
2026-06-08 12:22:10 PM,88.3,75.9,109.7,57.5,30.11,-183,30.11,4.7,95.7,71.2,1967,--,--,-,80.8,--,172.8,87.2,88,session,"Session - Jun 8, 2026 12:20:22 PM",2026-06-08 12:20:22 PM 12:20:22 PM,0:18:13,,,,Enter Notes
2026-06-08 12:22:15 PM,88.2,75.6,109.5,56.9,30.11,-181,30.11,1.8,95.7,71,1974,--,--,-,80.6,--,173.8,87,88.2,session,"Session - Jun 8, 2026 12:20:22 PM",2026-06-08 12:20:22 PM 12:20:22 PM,0:18:13,,,,Enter Notes
2026-06-08 12:22:20 PM,88.2,75.6,109.5,56.6,30.11,-183,30.11,4,95.7,70.8,1972,--,--,-,80.4,--,174.8,86.9,88.2,session,"Session - Jun 8, 2026 12:20:22 PM",2026-06-08 12:20:22 PM 12:20:22 PM,0:18:13,,,,Enter Notes
2026-06-08 12:22:25 PM,88.4,75.7,109.5,56.3,30.11,-181,30.11,3.2,95.9,70.8,1979,--,--,-,80.4,--,174.8,86.9,88.3,session,"Session - Jun 8, 2026 12:20:22 PM",2026-06-08 12:20:22 PM 12:20:22 PM,0:18:13,,,,Enter Notes
2026-06-08 12:22:30 PM,87.9,75.4,109.7,56.3,30.11,-183,30.11,6.3,94.8,70.4,1947,--,--,-,80.3,--,175.9,86.8,87.8,session,"Session - Jun 8, 2026 12:20:22 PM",2026-06-08 12:20:22 PM 12:20:22 PM,0:18:13,,,,Enter Notes
2026-06-08 12:22:36 PM,87.5,75,109.7,56.9,30.11,-183,30.11,3.3,94.5,70.4,1922,--,--,-,80.5,--,175,87,87.4,session,"Session - Jun 8, 2026 12:20:22 PM",2026-06-08 12:20:22 PM 12:20:22 PM,0:18:13,,,,Enter Notes
2026-06-08 12:22:40 PM,88.1,75.9,109.7,57.4,30.11,-183,30.11,5.8,95.7,71.2,1964,--,--,-,80.8,--,173,87.2,88,session,"Session - Jun 8, 2026 12:20:22 PM",2026-06-08 12:20:22 PM 12:20:22 PM,0:18:13,,,,Enter Notes
2026-06-08 12:22:45 PM,88.6,76.3,109.7,57.5,30.11,-181,30.11,5.1,97,71.6,1999,--,--,-,80.8,--,173,87.2,88.5,session,"Session - Jun 8, 2026 12:20:22 PM",2026-06-08 12:20:22 PM 12:20:22 PM,0:18:13,,,,Enter Notes
2026-06-08 12:22:50 PM,87.9,75.7,109.7,57.4,30.11,-183,30.11,6.6,95.4,71,1950,--,--,-,80.8,--,173.2,87.2,87.8,session,"Session - Jun 8, 2026 12:20:22 PM",2026-06-08 12:20:22 PM 12:20:22 PM,0:18:13,,,,Enter Notes
2026-06-08 12:22:55 PM,87.5,75.2,109.7,57,30.11,-183,30.11,6.4,94.5,70.4,1920,--,--,-,80.7,--,174.4,87.1,87.4,session,"Session - Jun 8, 2026 12:20:22 PM",2026-06-08 12:20:22 PM 12:20:22 PM,0:18:13,,,,Enter Notes
2026-06-08 12:23:00 PM,86.9,74.5,109.9,56.6,30.11,-181,30.11,6.4,93.2,69.7,1881,--,--,-,80.6,--,175,87.1,86.9,session,"Session - Jun 8, 2026 12:20:22 PM",2026-06-08 12:20:22 PM 12:20:22 PM,0:18:13,,,,Enter Notes
2026-06-08 12:23:05 PM,87,74.5,110.2,56.5,30.11,-181,30.11,4.9,93.2,69.6,1886,--,--,-,80.5,--,175.3,87,86.9,session,"Session - Jun 8, 2026 12:20:22 PM",2026-06-08 12:20:22 PM 12:20:22 PM,0:18:13,,,,Enter Notes
2026-06-08 12:23:10 PM,86.5,74.1,110.4,56.6,30.11,-183,30.11,8.2,92.1,69.2,1844,--,--,-,80.2,--,176,86.9,86.4,session,"Session - Jun 8, 2026 12:20:22 PM",2026-06-08 12:20:22 PM 12:20:22 PM,0:18:13,,,,Enter Notes
2026-06-08 12:23:15 PM,86.2,73.9,110.6,56.9,30.11,-183,30.11,11.5,91.8,69.1,1824,--,--,-,80.2,--,175.6,86.9,86.2,session,"Session - Jun 8, 2026 12:20:22 PM",2026-06-08 12:20:22 PM 12:20:22 PM,0:18:13,,,,Enter Notes
2026-06-08 12:23:20 PM,86.3,74.3,110.8,57.3,30.11,-183,30.11,8.4,92.1,69.5,1836,--,--,-,80.4,--,174.9,87.1,86.2,session,"Session - Jun 8, 2026 12:20:22 PM",2026-06-08 12:20:22 PM 12:20:22 PM,0:18:13,,,,Enter Notes
2026-06-08 12:23:25 PM,86.5,74.7,110.7,57.9,30.11,-183,30.11,9.1,92.7,69.9,1853,--,--,-,80.6,--,174.4,87.2,86.4,session,"Session - Jun 8, 2026 12:20:22 PM",2026-06-08 12:20:22 PM 12:20:22 PM,0:18:13,,,,Enter Notes
2026-06-08 12:23:30 PM,86.6,74.8,110.6,58.2,30.11,-181,30.11,8.2,93.2,70.2,1863,--,--,-,80.8,--,174.1,87.3,86.5,session,"Session - Jun 8, 2026 12:20:22 PM",2026-06-08 12:20:22 PM 12:20:22 PM,0:18:13,,,,Enter Notes
2026-06-08 12:23:35 PM,87,75.4,110.6,58.5,30.11,-183,30.11,7.2,93.9,70.7,1888,--,--,-,80.8,--,174.6,87.3,86.9,session,"Session - Jun 8, 2026 12:20:22 PM",2026-06-08 12:20:22 PM 12:20:22 PM,0:18:13,,,,Enter Notes
2026-06-08 12:23:40 PM,87.2,75.4,110.3,58.4,30.11,-181,30.11,1.9,94.3,70.8,1905,--,--,-,80.7,--,175.3,87.2,87.1,session,"Session - Jun 8, 2026 12:20:22 PM",2026-06-08 12:20:22 PM 12:20:22 PM,0:18:13,,,,Enter Notes
2026-06-08 12:23:45 PM,87.3,75.4,110.2,58.1,30.11,-181,30.11,3.4,94.5,70.7,1913,--,--,-,80.7,--,175.8,87.1,87.3,session,"Session - Jun 8, 2026 12:20:22 PM",2026-06-08 12:20:22 PM 12:20:22 PM,0:18:13,,,,Enter Notes
2026-06-08 12:23:50 PM,87.5,75.4,109.9,57.7,30.11,-181,30.11,2.3,94.6,70.7,1930,--,--,-,80.4,--,177.5,86.9,87.4,session,"Session - Jun 8, 2026 12:20:22 PM",2026-06-08 12:20:22 PM 12:20:22 PM,0:18:13,,,,Enter Notes
