Date,Time,Elapsed Seconds,Latitude,Longitude,Temperature Probe-Temperature (&#x2103;),Ambient Light Intensity-Light (lux),Heat Index-Heat Index (&#x2103;),Dew Point-Dew Point (&#x2103;),Humidity-Humidity (%RH)
6/10/2026,2:30:30 PM,0,17.75095,-64.73029,33.8,423.84,36.4,21.6,51.8
6/10/2026,2:30:31 PM,1,17.75095,-64.73029,33.7,507.91,36.5,21.6,51.9
6/10/2026,2:30:32 PM,2,17.75096,-64.73030,33.6,481.77,36.5,21.7,51.9
6/10/2026,2:30:33 PM,3,17.75097,-64.73030,33.6,694.09,36.5,21.7,51.9
6/10/2026,2:30:34 PM,4,17.75098,-64.73031,33.7,664.94,36.5,21.7,51.9
6/10/2026,2:30:35 PM,5,17.75099,-64.73031,33.6,694.81,36.5,21.7,51.9
6/10/2026,2:30:36 PM,6,17.75100,-64.73031,33.5,783.73,36.5,21.7,51.9
6/10/2026,2:30:37 PM,7,17.75102,-64.73030,33.6,859.2,36.5,21.7,51.9
6/10/2026,2:30:38 PM,8,17.75103,-64.73030,33.7,892.19,36.6,21.7,51.8
6/10/2026,2:30:39 PM,9,17.75103,-64.73029,33.7,962.89,36.6,21.7,51.8
6/10/2026,2:30:40 PM,10,17.75104,-64.73028,33.5,1015.84,36.5,21.7,51.8
6/10/2026,2:30:41 PM,11,17.75105,-64.73027,33.6,1014.12,36.6,21.7,51.8
6/10/2026,2:30:42 PM,12,17.75104,-64.73027,33.7,974.36,36.6,21.7,51.8
6/10/2026,2:30:43 PM,13,17.75105,-64.73026,33.8,982.65,36.6,21.7,51.8
6/10/2026,2:30:44 PM,14,17.75105,-64.73025,33.7,947.62,36.6,21.7,51.8
6/10/2026,2:30:45 PM,15,17.75105,-64.73024,33.5,965.9,36.6,21.7,51.8
6/10/2026,2:30:46 PM,16,17.75106,-64.73023,33.8,938.11,36.6,21.7,51.7
6/10/2026,2:30:47 PM,17,17.75106,-64.73022,33.5,930.73,36.6,21.7,51.7
6/10/2026,2:30:48 PM,18,17.75106,-64.73021,33.7,915.72,36.6,21.7,51.7
6/10/2026,2:30:49 PM,19,17.75107,-64.73019,33.6,947.86,36.7,21.7,51.7
6/10/2026,2:30:50 PM,20,17.75108,-64.73019,33.5,920.75,36.6,21.7,51.6
6/10/2026,2:30:51 PM,21,17.75108,-64.73018,33.5,880.76,36.7,21.7,51.6
6/10/2026,2:30:52 PM,22,17.75108,-64.73017,33.5,919.51,36.6,21.7,51.5
6/10/2026,2:30:53 PM,23,17.75108,-64.73016,33.6,938.48,36.6,21.6,51.5
