Date,Time,Elapsed Seconds,Latitude,Longitude,Temperature Probe-Temperature (&#x2103;),Humidity-Humidity (%RH),Dew Point-Dew Point (&#x2103;),Heat Index-Heat Index (&#x2103;),Ambient Light Intensity-Light (lux)
6/10/2026,3:19:15 PM,0,17.74745,-64.72548,33.9,44.5,21.9,40.5,577.92
6/10/2026,3:19:16 PM,1,17.74743,-64.72547,33.9,44.5,21.9,40.5,1271.84
6/10/2026,3:19:17 PM,2,17.74743,-64.72547,33.9,44.6,21.9,40.5,725.32
6/10/2026,3:19:18 PM,3,17.74743,-64.72546,33.9,44.6,21.9,40.5,1542.35
6/10/2026,3:19:19 PM,4,17.74743,-64.72546,34,44.7,21.9,40.5,684.86
6/10/2026,3:19:20 PM,5,17.74743,-64.72546,34,44.7,21.9,40.5,813.44
6/10/2026,3:19:21 PM,6,17.74749,-64.72546,34,44.7,21.9,40.5,645.02
6/10/2026,3:19:22 PM,7,17.74750,-64.72546,34.2,44.7,21.9,40.5,1232.87
6/10/2026,3:19:23 PM,8,17.74751,-64.72545,34.4,44.6,21.9,40.4,534.49
6/10/2026,3:19:24 PM,9,17.74752,-64.72544,34.2,44.7,21.9,40.4,629.87
6/10/2026,3:19:25 PM,10,17.74753,-64.72543,34.2,44.7,21.9,40.5,614.12
6/10/2026,3:19:26 PM,11,17.74754,-64.72542,34.2,44.7,21.9,40.4,810.82
6/10/2026,3:19:27 PM,12,17.74754,-64.72541,34.2,44.5,21.8,40.4,647.25
6/10/2026,3:19:28 PM,13,17.74755,-64.72540,34.2,44.6,21.8,40.3,525.93
6/10/2026,3:19:29 PM,14,17.74756,-64.72540,34.2,44.3,21.7,40.2,637.25
6/10/2026,3:19:30 PM,15,17.74756,-64.72539,34.2,44.2,21.7,40.1,140.9
6/10/2026,3:19:31 PM,16,17.74757,-64.72538,34.2,44.2,21.7,40.1,734.82
6/10/2026,3:19:32 PM,17,17.74757,-64.72537,34.2,44.3,21.7,40.2,636.73
6/10/2026,3:19:33 PM,18,17.74758,-64.72536,34.2,44.4,21.7,40.2,545.33
6/10/2026,3:19:34 PM,19,17.74759,-64.72535,34.1,44.4,21.8,40.2,507.49
6/10/2026,3:19:35 PM,20,17.74759,-64.72534,34.3,44.3,21.7,40.2,862.96
6/10/2026,3:19:36 PM,21,17.74760,-64.72534,34.2,44.3,21.7,40.1,672.73
6/10/2026,3:19:37 PM,22,17.74760,-64.72533,34.1,44.4,21.7,40.2,1342.04
6/10/2026,3:19:38 PM,23,17.74761,-64.72532,34.1,44.3,21.7,40.1,1148.36
6/10/2026,3:19:39 PM,24,17.74762,-64.72531,34.2,44.3,21.7,40.1,996.91
6/10/2026,3:19:40 PM,25,17.74762,-64.72530,34.4,44.2,21.7,40.1,224.46
6/10/2026,3:19:41 PM,26,17.74763,-64.72529,34.4,44.2,21.7,40.1,790.47
6/10/2026,3:19:42 PM,27,17.74764,-64.72528,34.4,44.2,21.7,40.1,496.46
6/10/2026,3:19:43 PM,28,17.74764,-64.72527,34.2,44.1,21.6,40,1387.94
6/10/2026,3:19:44 PM,29,17.74765,-64.72526,34.5,44.1,21.6,40.1,385.64
6/10/2026,3:19:45 PM,30,17.74765,-64.72525,34.4,44.1,21.6,40.1,1553.56
