Date,Time,Elapsed Seconds,Latitude,Longitude,Temperature Probe-Temperature (&#x2103;),Humidity-Humidity (%RH),Heat Index-Heat Index (&#x2103;),Dew Point-Dew Point (&#x2103;),Ambient Light Intensity-Light (lux)
6/10/2026,2:31:45 PM,0,17.74551,-64.71278,30.9,56.3,35.1,21.8,904.69
6/10/2026,2:31:46 PM,1,17.74551,-64.71277,30.8,56.3,35.1,21.8,853.84
6/10/2026,2:31:47 PM,2,17.74552,-64.71275,30.8,56.3,35.1,21.8,731.12
6/10/2026,2:31:48 PM,3,17.74551,-64.71274,30.9,56.3,35.1,21.8,759.25
6/10/2026,2:31:49 PM,4,17.74551,-64.71273,30.9,56.5,35.1,21.9,950.09
6/10/2026,2:31:50 PM,5,17.74549,-64.71270,30.9,56.5,35.2,21.9,749.06
6/10/2026,2:31:51 PM,6,17.74548,-64.71269,30.9,56.6,35.2,21.9,766.51
6/10/2026,2:31:52 PM,7,17.74548,-64.71268,30.9,56.8,35.2,22,747.34
6/10/2026,2:31:53 PM,8,17.74550,-64.71267,30.9,56.9,35.3,22,442.51
6/10/2026,2:31:54 PM,9,17.74550,-64.71267,30.9,56.9,35.3,22,504
6/10/2026,2:31:55 PM,10,17.74550,-64.71267,30.9,56.6,35.2,21.9,248.3
6/10/2026,2:31:56 PM,11,17.74551,-64.71266,30.9,56.4,35.1,21.9,555.36
6/10/2026,2:31:57 PM,12,17.74550,-64.71265,30.8,56.1,35,21.8,715.2
6/10/2026,2:31:58 PM,13,17.74550,-64.71265,30.7,55.9,35,21.7,680.43
6/10/2026,2:31:59 PM,14,17.74550,-64.71265,30.7,55.7,35,21.7,909.62
6/10/2026,2:32:00 PM,15,17.74550,-64.71265,30.7,55.7,34.9,21.7,912.26
6/10/2026,2:32:01 PM,16,17.74550,-64.71259,30.7,55.7,34.9,21.7,834.69
6/10/2026,2:32:02 PM,17,17.74550,-64.71257,30.6,55.7,34.9,21.7,486.71
6/10/2026,2:32:03 PM,18,17.74548,-64.71259,30.7,55.8,34.9,21.7,155.74
6/10/2026,2:32:04 PM,19,17.74549,-64.71258,30.7,55.8,35,21.7,698.09
6/10/2026,2:32:05 PM,20,17.74552,-64.71261,30.6,55.8,35,21.7,741.79
6/10/2026,2:32:06 PM,21,17.74553,-64.71262,30.6,55.9,35,21.7,734.26
6/10/2026,2:32:07 PM,22,17.74552,-64.71261,30.7,55.9,35,21.7,469.36
6/10/2026,2:32:08 PM,23,17.74553,-64.71261,30.7,56,35,21.7,591.64
