Date,Time,Elapsed Seconds,Latitude,Longitude,Temperature Probe-Temperature (&#x2103;),Humidity-Humidity (%RH),Dew Point-Dew Point (&#x2103;),Heat Index-Heat Index (&#x2103;),Ambient Light Intensity-Light (lux)
6/10/2026,11:25:30 AM,0,17.74627,-64.71081,32.6,47.7,20.6,36,2759.92
6/10/2026,11:25:31 AM,1,17.74627,-64.71081,32.5,47.7,20.6,36,2785.59
6/10/2026,11:25:32 AM,2,17.74621,-64.71073,32.4,47.7,20.6,36,2795.96
6/10/2026,11:25:33 AM,3,17.74609,-64.71068,32.6,47.6,20.6,36,2811.95
6/10/2026,11:25:34 AM,4,17.74606,-64.71067,32.5,47.6,20.6,36,2833.54
6/10/2026,11:25:35 AM,5,17.74605,-64.71065,32.5,47.7,20.6,36,2818.53
6/10/2026,11:25:36 AM,6,17.74606,-64.71063,32.8,47.6,20.6,36,2832.45
6/10/2026,11:25:37 AM,7,17.74606,-64.71063,32.7,47.6,20.6,36,2827.21
6/10/2026,11:25:38 AM,8,17.74606,-64.71063,32.8,47.6,20.6,36,2767.54
6/10/2026,11:25:39 AM,9,17.74606,-64.71063,32.6,47.6,20.6,36,2781.06
6/10/2026,11:25:40 AM,10,17.74606,-64.71063,32.6,47.6,20.6,36.1,3337.44
6/10/2026,11:25:41 AM,11,17.74605,-64.71063,32.6,47.6,20.6,36.1,3751
6/10/2026,11:25:42 AM,12,17.74605,-64.71063,32.6,47.6,20.6,36.1,3924.04
6/10/2026,11:25:43 AM,13,17.74605,-64.71063,32.7,47.6,20.6,36.1,3982.9
6/10/2026,11:25:44 AM,14,17.74605,-64.71063,32.5,47.6,20.6,36.1,3988.98
6/10/2026,11:25:45 AM,15,17.74605,-64.71063,32.7,47.6,20.6,36.1,3994.96
6/10/2026,11:25:46 AM,16,17.74605,-64.71063,32.6,47.6,20.6,36.1,4003.24
6/10/2026,11:25:47 AM,17,17.74605,-64.71063,32.6,47.6,20.7,36.1,4011.06
6/10/2026,11:25:48 AM,18,17.74605,-64.71062,32.6,47.7,20.7,36.2,4020.74
6/10/2026,11:25:49 AM,19,17.74605,-64.71063,32.6,47.6,20.7,36.1,4024.37
6/10/2026,11:25:50 AM,20,17.74605,-64.71062,32.6,47.6,20.7,36.2,4034.26
6/10/2026,11:25:51 AM,21,17.74605,-64.71062,32.7,47.6,20.7,36.2,4034.69
6/10/2026,11:25:52 AM,22,17.74605,-64.71063,32.8,47.6,20.7,36.2,4043.96
6/10/2026,11:25:53 AM,23,17.74605,-64.71063,32.7,47.6,20.7,36.2,4054.21
6/10/2026,11:25:54 AM,24,17.74605,-64.71064,32.8,47.6,20.7,36.2,4066.49
6/10/2026,11:25:55 AM,25,17.74605,-64.71063,32.8,47.6,20.7,36.2,4073.18
6/10/2026,11:25:56 AM,26,17.74605,-64.71063,32.6,47.6,20.7,36.2,4069.49
6/10/2026,11:25:57 AM,27,17.74605,-64.71063,32.9,47.6,20.7,36.3,4075.8
6/10/2026,11:25:58 AM,28,17.74606,-64.71063,32.7,47.7,20.8,36.3,4090.93
