Date,Time,Elapsed Seconds,Temperature Probe-Temperature (&#x2103;),Humidity-Humidity (%RH),Dew Point-Dew Point (&#x2103;),Heat Index-Heat Index (&#x2103;),Ambient Light Intensity-Light (lux)
6/14/2026,4:06:01 PM,0.00,31.6,51.4,21.7,36.8,88.98
6/14/2026,4:06:02 PM,1.00,31.5,51.4,21.7,36.8,97.84
6/14/2026,4:06:03 PM,2.00,31.4,51.5,21.7,36.7,105.04
6/14/2026,4:06:04 PM,3.00,31.4,51.4,21.7,36.8,91.66
6/14/2026,4:06:05 PM,4.00,31.4,51.4,21.7,36.7,109.54
6/14/2026,4:06:06 PM,5.00,31.4,51.4,21.7,36.7,88.62
6/14/2026,4:06:07 PM,6.00,31.3,51.4,21.7,36.7,112.96
6/14/2026,4:06:08 PM,7.00,31.1,51.4,21.7,36.7,102.17
6/14/2026,4:06:09 PM,8.00,31.4,51.4,21.7,36.7,107.91
6/14/2026,4:06:10 PM,9.00,31.4,51.4,21.7,36.7,147.94
6/14/2026,4:06:11 PM,10.00,31.4,51.4,21.7,36.7,194.34
6/14/2026,4:06:12 PM,11.00,31.4,51.4,21.7,36.7,164.06
6/14/2026,4:06:13 PM,12.00,31.4,51.4,21.7,36.7,177.12
6/14/2026,4:06:14 PM,13.00,31.3,51.4,21.7,36.7,130.19
6/14/2026,4:06:15 PM,14.00,31.4,51.4,21.7,36.7,169.68
6/14/2026,4:06:16 PM,15.00,31.3,51.4,21.7,36.7,247.7
6/14/2026,4:06:17 PM,16.00,31.3,51.4,21.7,36.7,370.79
6/14/2026,4:06:18 PM,17.00,31.3,51.5,21.7,36.8,385.53
6/14/2026,4:06:19 PM,18.00,31.3,51.4,21.7,36.7,357.95
6/14/2026,4:06:20 PM,19.00,31.5,51.4,21.7,36.7,313.35
6/14/2026,4:06:21 PM,20.00,31.4,51.4,21.7,36.7,393.71
6/14/2026,4:06:22 PM,21.00,31.5,51.4,21.7,36.7,415.51
6/14/2026,4:06:23 PM,22.00,31.4,51.4,21.7,36.8,460.64
6/14/2026,4:06:24 PM,23.00,31.6,51.4,21.7,36.7,457.77
6/14/2026,4:06:25 PM,24.00,31.3,51.4,21.7,36.8,605.58
6/14/2026,4:06:26 PM,25.00,31.5,51.4,21.7,36.8,523.67
6/14/2026,4:06:27 PM,26.00,31.6,51.4,21.7,36.8,421.56
6/14/2026,4:06:28 PM,27.00,31.4,51.4,21.7,36.8,629.39
6/14/2026,4:06:29 PM,28.00,31.5,51.4,21.7,36.8,706.42
6/14/2026,4:06:30 PM,29.00,31.5,51.4,21.7,36.8,638.83
6/14/2026,4:06:31 PM,30.00,31.5,51.4,21.7,36.8,633.87
6/14/2026,4:06:32 PM,31.00,31.5,51.3,21.7,36.8,445.55
6/14/2026,4:06:33 PM,32.00,31.5,51.3,21.7,36.8,611.36
6/14/2026,4:06:34 PM,33.00,31.5,51.3,21.7,36.8,623.59
6/14/2026,4:06:35 PM,34.00,31.6,51.3,21.7,36.8,605.16
6/14/2026,4:06:36 PM,35.00,31.5,51.3,21.7,36.8,691.3
6/14/2026,4:06:37 PM,36.00,31.4,51.3,21.7,36.8,638.75
6/14/2026,4:06:38 PM,37.00,31.4,51.2,21.7,36.8,581.22
6/14/2026,4:06:39 PM,38.00,31.3,51.2,21.7,36.8,630.89
6/14/2026,4:06:40 PM,39.00,31.3,51.2,21.7,36.8,643.91
6/14/2026,4:06:41 PM,40.00,31.5,51.1,21.7,36.8,550.09
6/14/2026,4:06:42 PM,41.00,31.4,51.2,21.7,36.8,582.8
6/14/2026,4:06:43 PM,42.00,31.4,51.1,21.7,36.8,572.3
6/14/2026,4:06:44 PM,43.00,31.3,51,21.6,36.8,650.2
6/14/2026,4:06:45 PM,44.00,31.4,51.1,21.7,36.8,624.39
6/14/2026,4:06:46 PM,45.00,31.4,51,21.6,36.8,567.59
6/14/2026,4:06:47 PM,46.00,31.3,50.9,21.6,36.8,645.72
6/14/2026,4:06:48 PM,47.00,31.5,51,21.7,36.8,695.76
6/14/2026,4:06:49 PM,48.00,31.4,51,21.6,36.8,566.36
6/14/2026,4:06:50 PM,49.00,31.5,51,21.7,36.8,660.47
6/14/2026,4:06:51 PM,50.00,31.5,51,21.6,36.8,691.78
6/14/2026,4:06:52 PM,51.00,31.5,51,21.6,36.8,703.26
6/14/2026,4:06:53 PM,52.00,31.5,51,21.6,36.8,677.81
6/14/2026,4:06:54 PM,53.00,31.3,50.9,21.6,36.8,671.28
6/14/2026,4:06:55 PM,54.00,31.4,50.9,21.6,36.8,633.84
6/14/2026,4:06:56 PM,55.00,31.4,50.9,21.6,36.8,652.31
6/14/2026,4:06:57 PM,56.00,31.4,50.9,21.6,36.8,648.14
6/14/2026,4:06:58 PM,57.00,31.6,50.9,21.6,36.9,641.19
6/14/2026,4:06:59 PM,58.00,31.4,50.9,21.6,36.9,625.73
6/14/2026,4:07:00 PM,59.00,31.3,50.9,21.6,36.9,643.03
6/14/2026,4:07:01 PM,60.00,31.3,51,21.7,36.9,680.56
6/14/2026,4:07:02 PM,61.00,31.5,51,21.7,36.9,723.8
6/14/2026,4:07:03 PM,62.00,31.4,50.9,21.6,36.9,681.53
6/14/2026,4:07:04 PM,63.00,31.4,50.9,21.6,36.9,686.47
6/14/2026,4:07:05 PM,64.00,31.4,50.9,21.6,36.9,714.36
6/14/2026,4:07:06 PM,65.00,31.4,50.9,21.6,36.9,663.19
6/14/2026,4:07:07 PM,66.00,31.4,50.8,21.6,36.9,692.31
6/14/2026,4:07:08 PM,67.00,31.5,50.8,21.6,36.9,679.33
6/14/2026,4:07:09 PM,68.00,31.6,50.8,21.6,36.9,694.56
6/14/2026,4:07:10 PM,69.00,31.5,50.7,21.6,36.9,711.22
6/14/2026,4:07:11 PM,70.00,31.4,50.7,21.6,36.9,723.56
6/14/2026,4:07:12 PM,71.00,31.5,50.7,21.6,36.9,816.01
6/14/2026,4:07:13 PM,72.00,31.5,50.7,21.6,36.9,730.39
6/14/2026,4:07:14 PM,73.00,31.5,50.6,21.6,36.8,725.97
6/14/2026,4:07:15 PM,74.00,31.3,50.6,21.6,36.9,707.98
6/14/2026,4:07:16 PM,75.00,31.3,50.6,21.6,36.8,752.42
6/14/2026,4:07:17 PM,76.00,31.4,50.5,21.5,36.8,747.75
6/14/2026,4:07:18 PM,77.00,31.3,50.5,21.6,36.8,733.62
6/14/2026,4:07:19 PM,78.00,31.4,50.5,21.6,36.8,625.98
6/14/2026,4:07:20 PM,79.00,31.3,50.5,21.6,36.9,609.73
6/14/2026,4:07:21 PM,80.00,31.1,50.5,21.6,36.9,620.44
6/14/2026,4:07:22 PM,81.00,31.3,50.5,21.6,36.8,665.5
6/14/2026,4:07:23 PM,82.00,31.4,50.5,21.6,36.9,600.3
6/14/2026,4:07:24 PM,83.00,31.5,50.5,21.6,36.9,646.83
6/14/2026,4:07:25 PM,84.00,31.4,50.5,21.6,36.9,602.95
6/14/2026,4:07:26 PM,85.00,31.6,50.5,21.6,36.9,677.62
6/14/2026,4:07:27 PM,86.00,31.5,50.5,21.6,36.9,580.75
6/14/2026,4:07:28 PM,87.00,31.6,50.4,21.5,36.9,663.58
6/14/2026,4:07:29 PM,88.00,31.4,50.5,21.6,36.9,704.61
6/14/2026,4:07:30 PM,89.00,31.4,50.5,21.6,36.9,663.55
6/14/2026,4:07:31 PM,90.00,31.4,50.5,21.5,36.9,683.25
6/14/2026,4:07:32 PM,91.00,31.4,50.5,21.6,36.9,649.92
6/14/2026,4:07:33 PM,92.00,31.3,50.5,21.6,36.9,691.44
6/14/2026,4:07:34 PM,93.00,31.5,50.5,21.6,36.9,680.25
6/14/2026,4:07:35 PM,94.00,31.5,50.5,21.6,36.9,688.47
6/14/2026,4:07:36 PM,95.00,31.5,50.5,21.6,36.9,685.51
6/14/2026,4:07:37 PM,96.00,31.4,50.6,21.6,36.9,686.42
6/14/2026,4:07:38 PM,97.00,31.4,50.5,21.6,36.9,681.97
