Date,Time,Elapsed Seconds,Latitude,Longitude,Temperature Probe-Temperature (&#x2103;),Humidity-Humidity (%RH),Dew Point-Dew Point (&#x2103;),Heat Index-Heat Index (&#x2103;),Ambient Light Intensity-Light (lux)
6/14/2026,11:15:43 AM,0,17.75048,-64.62148,33.3,45.8,21.2,38.3,1124.99
6/14/2026,11:15:44 AM,1,17.75048,-64.62150,33.3,45.7,21.2,38.3,1114.42
6/14/2026,11:15:45 AM,2,17.75048,-64.62150,33.5,45.7,21.2,38.3,1143.62
6/14/2026,11:15:46 AM,3,17.75047,-64.62151,33.4,45.7,21.2,38.3,1119.17
6/14/2026,11:15:47 AM,4,17.75047,-64.62152,33.5,45.7,21.2,38.3,1101.27
6/14/2026,11:15:48 AM,5,17.75047,-64.62154,33.6,45.7,21.2,38.3,1122.99
6/14/2026,11:15:49 AM,6,17.75047,-64.62154,33.5,45.6,21.2,38.3,1127.62
6/14/2026,11:15:50 AM,7,17.75047,-64.62154,33.6,45.6,21.2,38.3,1113.1
6/14/2026,11:15:51 AM,8,17.75047,-64.62154,33.5,45.6,21.2,38.3,1085.04
6/14/2026,11:15:52 AM,9,17.75046,-64.62157,33.6,45.6,21.2,38.3,1108.79
6/14/2026,11:15:53 AM,10,17.75046,-64.62159,33.6,45.6,21.2,38.3,1092.15
6/14/2026,11:15:54 AM,11,17.75045,-64.62160,33.6,45.6,21.2,38.3,1047.12
6/14/2026,11:15:55 AM,12,17.75045,-64.62161,33.6,45.5,21.2,38.3,1071.03
6/14/2026,11:15:56 AM,13,17.75045,-64.62162,33.6,45.5,21.2,38.3,1089.99
6/14/2026,11:15:57 AM,14,17.75044,-64.62163,33.6,45.5,21.2,38.4,1042.6
6/14/2026,11:15:58 AM,15,17.75043,-64.62165,33.7,45.5,21.2,38.3,1112.49
6/14/2026,11:15:59 AM,16,17.75043,-64.62166,33.8,45.5,21.2,38.3,1025.73
6/14/2026,11:16:00 AM,17,17.75043,-64.62167,33.8,45.4,21.2,38.3,1113.62
6/14/2026,11:16:01 AM,18,17.75042,-64.62168,33.8,45.4,21.2,38.3,1217.54
6/14/2026,11:16:02 AM,19,17.75042,-64.62168,33.6,45.3,21.1,38.3,1174.18
6/14/2026,11:16:03 AM,20,17.75042,-64.62170,33.7,45.2,21.1,38.3,1142.12
