Device Name,HEAT - 3030480,,,,,,,,,,,,,,,,,,,,,,,,,,
Device Model,5400CL,,,,,,,,,,,,,,,,,,,,,,,,,,
Serial Number,3030480,,,,,,,,,,,,,,,,,,,,,,,,,,
FORMATTED DATE_TIME,Temperature,Wet Bulb Temp,Globe Temperature,Relative Humidity,Barometric Pressure,Altitude,Station Pressure,Wind Speed,Heat Index,Dew Point,Density Altitude,Crosswind,Headwind,Compass Magnetic Direction,NWB Temp,Compass True Direction,Thermal Work Limit,Wet Bulb Globe Temperature,Wind Chill,Data Type,Record name,Start time,Duration (H:M:S),Location description,Location address,Location coordinates,Notes
yyyy-MM-dd hh:mm:ss a,°F,°F,°F,%,inHg,ft,inHg,mph,°F,°F,ft,mph,mph,Deg,°F,Deg,w/m2,°F,°F,,,,,,,,
6/14/2026 10:39,87,75,94.7,57.7,30.11,-174,30.11,4.4,93.6,70.3,1898,--,--,--,77,--,250.9,81.5,86.9,session,"Session - Jun 14, 2026 10:39:16 AM",2026-06-14 10:39:16 AM 10:39:16 AM,0:15:00,Bus Station,,"(17.757641, -64.622685)",
6/14/2026 10:39,87.5,75.4,94.7,58,30.1,-174,30.1,2.5,94.8,70.9,1937,--,--,--,77,--,250.5,81.5,87.4,session,"Session - Jun 14, 2026 10:39:16 AM",2026-06-14 10:39:16 AM 10:39:16 AM,0:15:00,,,,
6/14/2026 10:39,87.4,75.4,94.7,58.2,30.11,-174,30.11,8.5,94.6,70.9,1927,--,--,--,77,--,250.1,81.5,87.3,session,"Session - Jun 14, 2026 10:39:16 AM",2026-06-14 10:39:16 AM 10:39:16 AM,0:15:00,,,,
6/14/2026 10:39,86.7,74.8,94.7,58.2,30.11,-178,30.11,15.3,93.6,70.3,1876,--,--,--,77,--,250.5,81.5,86.7,session,"Session - Jun 14, 2026 10:39:16 AM",2026-06-14 10:39:16 AM 10:39:16 AM,0:15:00,,,,
6/14/2026 10:39,86.3,74.5,95.2,58.2,30.11,-174,30.11,13.9,92.3,69.8,1844,--,--,--,76.9,--,250.1,81.5,86.2,session,"Session - Jun 14, 2026 10:39:16 AM",2026-06-14 10:39:16 AM 10:39:16 AM,0:15:00,,,,
6/14/2026 10:39,87.4,75.6,95.2,58.4,30.11,-178,30.11,9.9,95,71.1,1930,--,--,--,76.9,--,250.4,81.5,87.4,session,"Session - Jun 14, 2026 10:39:16 AM",2026-06-14 10:39:16 AM 10:39:16 AM,0:15:00,,,,
6/14/2026 10:39,87.8,75.9,95.2,58.6,30.11,-174,30.11,8,95.7,71.5,1962,--,--,--,76.9,--,250.6,81.5,87.8,session,"Session - Jun 14, 2026 10:39:16 AM",2026-06-14 10:39:16 AM 10:39:16 AM,0:15:00,,,,
6/14/2026 10:39,87.2,75.6,95.1,58.7,30.1,-174,30.1,8.7,94.3,71,1922,--,--,--,76.9,--,250.7,81.5,87.1,session,"Session - Jun 14, 2026 10:39:16 AM",2026-06-14 10:39:16 AM 10:39:16 AM,0:15:00,,,,
6/14/2026 10:39,87.1,75.4,95.1,58.6,30.11,-178,30.11,7.2,94.3,70.8,1910,--,--,--,76.9,--,250.9,81.5,87.1,session,"Session - Jun 14, 2026 10:39:16 AM",2026-06-14 10:39:16 AM 10:39:16 AM,0:15:00,,,,
6/14/2026 10:40,87.1,75.4,95.1,58.7,30.1,-172,30.1,3.1,93.9,70.8,1910,--,--,--,76.9,--,250.9,81.5,86.9,session,"Session - Jun 14, 2026 10:39:16 AM",2026-06-14 10:39:16 AM 10:39:16 AM,0:15:00,,,,
6/14/2026 10:40,87.6,75.9,95.1,58.8,30.11,-174,30.11,8.5,95.5,71.4,1950,--,--,--,76.9,--,250.9,81.4,87.6,session,"Session - Jun 14, 2026 10:39:16 AM",2026-06-14 10:39:16 AM 10:39:16 AM,0:15:00,,,,
6/14/2026 10:40,87,75.4,95.1,58.9,30.11,-174,30.11,9.3,94.1,70.9,1900,--,--,--,77.1,--,250.3,81.6,86.9,session,"Session - Jun 14, 2026 10:39:16 AM",2026-06-14 10:39:16 AM 10:39:16 AM,0:15:00,,,,
6/14/2026 10:40,87.4,75.7,95,59,30.11,-178,30.11,8.5,94.8,71.3,1932,--,--,--,77.1,--,250.7,81.6,87.3,session,"Session - Jun 14, 2026 10:39:16 AM",2026-06-14 10:39:16 AM 10:39:16 AM,0:15:00,,,,
6/14/2026 10:40,87.5,75.9,95,59,30.11,-178,30.11,5.6,95.2,71.5,1942,--,--,--,77.1,--,250.9,81.6,87.4,session,"Session - Jun 14, 2026 10:39:16 AM",2026-06-14 10:39:16 AM 10:39:16 AM,0:15:00,,,,
