Date,Time,Elapsed Seconds,Latitude,Longitude,Temperature Probe-Temperature (&#x2103;),Humidity-Humidity (%RH),Heat Index-Heat Index (&#x2103;),Dew Point-Dew Point (&#x2103;),Ambient Light Intensity-Light (lux)
6/14/2026,12:02:44 PM,0,17.75099,-64.63189,31.7,51.5,35.8,21.3,237.86
6/14/2026,12:02:45 PM,1,17.75098,-64.63191,31.7,51.5,35.8,21.3,193.39
6/14/2026,12:02:46 PM,2,17.75098,-64.63192,31.8,51.5,35.8,21.3,172.05
6/14/2026,12:02:47 PM,3,17.75098,-64.63193,31.5,51.5,35.8,21.3,168.71
6/14/2026,12:02:48 PM,4,17.75098,-64.63194,31.4,51.5,35.8,21.3,186.74
6/14/2026,12:02:49 PM,5,17.75098,-64.63195,31.6,51.5,35.8,21.3,201.98
6/14/2026,12:02:50 PM,6,17.75098,-64.63196,31.7,51.5,35.8,21.3,162.88
6/14/2026,12:02:51 PM,7,17.75098,-64.63197,31.7,51.5,35.7,21.2,237.15
6/14/2026,12:02:52 PM,8,17.75098,-64.63199,31.6,51.5,35.7,21.2,421.96
6/14/2026,12:02:53 PM,9,17.75099,-64.63200,31.6,51.4,35.8,21.2,484.69
6/14/2026,12:02:54 PM,10,17.75099,-64.63201,31.6,51.4,35.7,21.2,308.64
6/14/2026,12:02:55 PM,11,17.75099,-64.63202,31.4,51.4,35.7,21.2,214.26
6/14/2026,12:02:56 PM,12,17.75098,-64.63204,31.4,51.4,35.7,21.2,167.48
6/14/2026,12:02:57 PM,13,17.75098,-64.63205,31.6,51.4,35.7,21.2,184.07
6/14/2026,12:02:58 PM,14,17.75098,-64.63206,31.6,51.5,35.8,21.2,247.11
6/14/2026,12:02:59 PM,15,17.75098,-64.63207,31.6,51.5,35.7,21.2,203.77
6/14/2026,12:03:00 PM,16,17.75097,-64.63208,31.5,51.5,35.7,21.2,150.25
6/14/2026,12:03:01 PM,17,17.75097,-64.63210,31.5,51.5,35.7,21.3,155.5
6/14/2026,12:03:02 PM,18,17.75097,-64.63211,31.7,51.5,35.7,21.3,123.38
6/14/2026,12:03:03 PM,19,17.75096,-64.63212,31.6,51.5,35.8,21.3,122.23
6/14/2026,12:03:04 PM,20,17.75097,-64.63213,31.7,51.5,35.7,21.2,193.8
6/14/2026,12:03:05 PM,21,17.75096,-64.63214,31.6,51.5,35.7,21.2,170.56
6/14/2026,12:03:06 PM,22,17.75096,-64.63216,31.4,51.5,35.7,21.2,184.95
6/14/2026,12:03:07 PM,23,17.75096,-64.63217,31.6,51.5,35.7,21.3,228.24
6/14/2026,12:03:08 PM,24,17.75096,-64.63218,31.5,51.6,35.7,21.3,230.99
6/14/2026,12:03:09 PM,25,17.75096,-64.63219,31.6,51.6,35.7,21.3,227.44
6/14/2026,12:03:10 PM,26,17.75096,-64.63220,31.6,51.7,35.8,21.3,213.77
6/14/2026,12:03:11 PM,27,17.75096,-64.63221,31.4,51.6,35.7,21.3,219.15
6/14/2026,12:03:12 PM,28,17.75096,-64.63223,31.3,51.6,35.7,21.3,215.02
6/14/2026,12:03:13 PM,29,17.75096,-64.63223,31.6,51.6,35.7,21.3,146.75
6/14/2026,12:03:14 PM,30,17.75095,-64.63224,31.4,51.6,35.7,21.3,149.88
6/14/2026,12:03:15 PM,31,17.75096,-64.63225,31.3,51.6,35.7,21.3,154.76
6/14/2026,12:03:16 PM,32,17.75096,-64.63226,31.4,51.6,35.7,21.3,155.37
6/14/2026,12:03:17 PM,33,17.75096,-64.63227,31.4,51.6,35.7,21.3,167.66
6/14/2026,12:03:18 PM,34,17.75097,-64.63228,31.2,51.6,35.7,21.3,159.3
6/14/2026,12:03:19 PM,35,17.75096,-64.63229,31.1,51.6,35.7,21.2,139.92
6/14/2026,12:03:20 PM,36,17.75096,-64.63231,31.3,51.6,35.7,21.2,147.51
6/14/2026,12:03:21 PM,37,17.75095,-64.63231,31.1,51.6,35.7,21.2,124.19
6/14/2026,12:03:22 PM,38,17.75095,-64.63233,31.1,51.6,35.6,21.2,135.19
6/14/2026,12:03:23 PM,39,17.75095,-64.63234,31.1,51.6,35.6,21.2,124.6
6/14/2026,12:03:24 PM,40,17.75094,-64.63235,31.4,51.7,35.7,21.2,115.02
6/14/2026,12:03:25 PM,41,17.75094,-64.63237,31,51.7,35.7,21.2,110.15
6/14/2026,12:03:26 PM,42,17.75094,-64.63238,30.8,51.7,35.7,21.2,107.44
6/14/2026,12:03:27 PM,43,17.75094,-64.63239,31,51.7,35.6,21.2,111.54
6/14/2026,12:03:28 PM,44,17.75093,-64.63240,31,51.7,35.7,21.3,116.89
6/14/2026,12:03:29 PM,45,17.75092,-64.63242,31.2,51.7,35.6,21.2,115.87
6/14/2026,12:03:30 PM,46,17.75092,-64.63243,31.1,51.7,35.6,21.2,136.44
6/14/2026,12:03:31 PM,47,17.75092,-64.63244,31.2,51.8,35.6,21.2,161.6
6/14/2026,12:03:32 PM,48,17.75092,-64.63245,31.2,51.8,35.6,21.2,168.98
6/14/2026,12:03:33 PM,49,17.75092,-64.63246,31.1,51.9,35.6,21.3,324.08
6/14/2026,12:03:34 PM,50,17.75092,-64.63247,31.1,51.8,35.6,21.3,520.25
6/14/2026,12:03:35 PM,51,17.75092,-64.63248,31.2,51.8,35.6,21.3,521.38
6/14/2026,12:03:36 PM,52,17.75091,-64.63249,31.4,51.8,35.6,21.3,433.46
6/14/2026,12:03:37 PM,53,17.75091,-64.63250,31.2,51.8,35.7,21.3,449.57
6/14/2026,12:03:38 PM,54,17.75091,-64.63250,31.2,51.8,35.6,21.3,504.71
6/14/2026,12:03:39 PM,55,17.75090,-64.63252,31.3,51.8,35.6,21.3,453.31
6/14/2026,12:03:40 PM,56,17.75090,-64.63253,31.3,51.8,35.6,21.3,447.33
6/14/2026,12:03:41 PM,57,17.75089,-64.63254,31.5,51.8,35.6,21.3,409.88
6/14/2026,12:03:42 PM,58,17.75089,-64.63255,31.3,51.8,35.7,21.3,388.81
6/14/2026,12:03:43 PM,59,17.75088,-64.63255,31.3,51.8,35.6,21.3,362.31
6/14/2026,12:03:44 PM,60,17.75088,-64.63257,31.2,51.7,35.6,21.2,326.37
6/14/2026,12:03:45 PM,61,17.75087,-64.63258,31.3,51.7,35.6,21.2,352.67
6/14/2026,12:03:46 PM,62,17.75087,-64.63258,31.2,51.6,35.6,21.2,314.17
6/14/2026,12:03:47 PM,63,17.75087,-64.63259,31,51.6,35.6,21.2,270.65
6/14/2026,12:03:48 PM,64,17.75086,-64.63260,31.1,51.6,35.6,21.2,296.03
6/14/2026,12:03:49 PM,65,17.75086,-64.63261,31.2,51.6,35.6,21.2,248.19
6/14/2026,12:03:50 PM,66,17.75086,-64.63262,31.2,51.7,35.6,21.2,306.28
6/14/2026,12:03:51 PM,67,17.75086,-64.63262,31.1,51.7,35.6,21.2,360.21
6/14/2026,12:03:52 PM,68,17.75086,-64.63263,31.3,51.7,35.6,21.2,363.4
6/14/2026,12:03:53 PM,69,17.75085,-64.63264,31.2,51.7,35.6,21.2,418.69
6/14/2026,12:03:54 PM,70,17.75085,-64.63265,31.2,51.7,35.6,21.2,378.26
6/14/2026,12:03:55 PM,71,17.75084,-64.63266,31.1,51.7,35.6,21.2,402.17
6/14/2026,12:03:56 PM,72,17.75084,-64.63267,31.1,51.7,35.6,21.2,440.86
6/14/2026,12:03:57 PM,73,17.75083,-64.63268,31.2,51.8,35.6,21.2,415.06
6/14/2026,12:03:58 PM,74,17.75083,-64.63268,31.1,51.8,35.6,21.2,429.34
6/14/2026,12:03:59 PM,75,17.75083,-64.63269,31,51.8,35.6,21.2,398.26
6/14/2026,12:04:00 PM,76,17.75083,-64.63270,31.1,51.8,35.6,21.3,371.66
6/14/2026,12:04:01 PM,77,17.75083,-64.63271,31.1,51.8,35.6,21.3,339.37
6/14/2026,12:04:02 PM,78,17.75083,-64.63272,31.1,51.8,35.6,21.3,348.92
6/14/2026,12:04:03 PM,79,17.75083,-64.63273,31.1,51.8,35.6,21.2,377.2
6/14/2026,12:04:04 PM,80,17.75083,-64.63274,31.3,51.8,35.6,21.2,348.54
6/14/2026,12:04:05 PM,81,17.75084,-64.63274,31.1,51.8,35.6,21.2,366.76
6/14/2026,12:04:06 PM,82,17.75085,-64.63275,31,51.8,35.6,21.2,383.17
6/14/2026,12:04:07 PM,83,17.75086,-64.63276,31,51.8,35.6,21.2,364.43
6/14/2026,12:04:08 PM,84,17.75086,-64.63277,31.1,51.8,35.6,21.3,366.16
6/14/2026,12:04:09 PM,85,17.75087,-64.63277,31.1,51.8,35.6,21.2,378.34
6/14/2026,12:04:10 PM,86,17.75088,-64.63278,31.1,51.8,35.6,21.2,411.35
6/14/2026,12:04:11 PM,87,17.75088,-64.63279,31.1,51.9,35.7,21.3,351.72
6/14/2026,12:04:12 PM,88,17.75089,-64.63279,31.1,51.9,35.7,21.3,350.62
6/14/2026,12:04:13 PM,89,17.75090,-64.63280,31.1,51.9,35.6,21.3,331.5
6/14/2026,12:04:14 PM,90,17.75091,-64.63281,31.1,51.8,35.6,21.3,345.54
6/14/2026,12:04:15 PM,91,17.75092,-64.63281,31,51.9,35.6,21.3,322.89
